Name,Artist,Decade,Rank,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Country,City
(Just Like) Starting Over,John Lennon,80,12,0.701,0.79,9,-6.16,0.0725,0.301,0.0000606,0.179,0.421,99.104,236547,4,United Kingdom,Liverpool
I Love Rock ’N Roll,Joan Jett & The Blackhearts,80,13,0.535,0.716,4,-5.025,0.0431,0.326,0,0.659,0.901,94.379,175173,4,United States,Los Angeles
Ebony & Ivory,Paul McCartney & Stevie Wonder,80,14,0.639,0.459,4,-15.045,0.0332,0.168,0,0.15,0.785,80.668,220773,4,United Kingdom,Liverpool
That’s What Friends Are For,Dionne Warwick,80,15,0.683,0.284,0,-15.207,0.0314,0.333,0,0.0608,0.207,120.233,257360,4,United States,Orange
Upside Down,Diana Ross,80,16,0.877,0.843,5,-8.518,0.0672,0.175,0.0522,0.0477,0.866,107.848,245600,4,United States,Detroit
Abracadabra,Steve Miller Band,80,17,0.791,0.535,9,-13.261,0.0355,0.0749,0.00000196,0.156,0.963,127.488,308373,4,United States,San Francisco
Billie Jean,Michael Jackson,80,18,0.92,0.654,11,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4,United States,Gary
"Say You, Say Me",Lionel Richie,80,19,0.64,0.406,8,-11.129,0.0274,0.367,0,0.0865,0.233,128.026,241067,4,United States,Tuskegee
All Night Long (All Night),Lionel Richie,80,20,0.739,0.576,1,-12.024,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427,4,United States,Tuskegee
How Do I Live,LeAnne Rimes,90,1,0.577,0.462,2,-7.989,0.0279,0.128,0,0.0822,0.258,128.303,266973,4,United States,Jackson
Macarena,Los Del Rio,90,2,0.737,0.93,1,-6.083,0.0534,0.237,0.00000157,0.0911,0.965,103.191,253107,4,Spain,Seville
Un-Break My Heart,Toni Braxton,90,3,0.625,0.426,2,-8.392,0.0271,0.413,0,0.116,0.112,110.018,270333,4,United States,Severn
Foolish Games,Jewel,90,4,0.298,0.0735,5,-16.472,0.0378,0.944,0.000401,0.0976,0.174,131.045,340667,4,United States,Homer
(Everything I Do) I Do It For You,Bryan Adams,90,5,0.519,0.372,1,-12.635,0.0284,0.0816,0.0000467,0.0652,0.298,131.227,394133,4,Canada,Kingston
I’ll Make Love To You,Boyz II Men,90,6,0.557,0.509,2,-7.298,0.0243,0.119,0,0.0794,0.244,142.408,236773,3,United States,Philadelphia
Too Close,Next,90,7,0.847,0.402,7,-9.952,0.0641,0.0118,0,0.283,0.752,99.693,259440,4,United States,Minneapolis
One Sweet Day,Mariah Carey & Boyz II Men,90,8,0.569,0.495,1,-8.964,0.03,0.353,0,0.0839,0.302,128.228,281067,4,United States,Huntington
Truly Madly Deeply,Savage Garden,90,9,0.555,0.698,0,-8.874,0.0287,0.403,0,0.0851,0.816,168.12,277267,4,Australia,Brisbane
Candle In the Wind,Elton John,90,10,0.602,0.53,4,-9.665,0.029,0.189,0.0000269,0.085,0.526,124.512,229533,4,United Kingdom,Pinner
End Of the Road,Boyz II Men,90,11,0.642,0.423,5,-9.283,0.0249,0.079,0,0.0663,0.505,149.61,351467,3,United States,Philadelphia
The Sign,Ace of Base,90,12,0.808,0.786,4,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240,4,Sweden,Gothenburg
The Boy is Mine,Brandy & Monica,90,13,0.704,0.707,1,-6.537,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,4,United States,McComb
Because I Love You,Stevie B,90,14,0.356,0.398,1,-8.158,0.0322,0.688,0,0.117,0.0888,124.921,260267,4,United States,Fort Lauderdale
Whoomp! (There It Is),Tag Team,90,15,0.8,0.639,4,-7.406,0.0439,0.00123,0,0.0803,0.45,129.443,226027,4,United States,Atlanta
Rush Rush,Paula Abdul,90,16,0.706,0.44,4,-11.577,0.0493,0.763,0,0.0958,0.395,90.012,292933,4,United States,San Fernando
You’re Still the One,Shania Twain,90,17,0.551,0.527,3,-7.119,0.0302,0.45,0,0.0867,0.642,133.758,212560,4,Canada,Timmins
I Will Always Love You,Whitney Houston,90,18,0.306,0.214,4,-12.518,0.0356,0.844,0.0000053,0.0839,0.108,66.98,271093,4,United States,Newark
Gangsta’s Paradise,Coolio & LV,90,19,0.647,0.514,8,-10.05,0.0593,0.0655,0,0.398,0.387,79.974,240693,4,United States,Compton
Nothing Compares 2 U,Sinead O’Connor,90,20,0.511,0.574,5,-7.016,0.0273,0.0425,0.0000233,0.105,0.161,119.917,280040,4,Ireland,Glenageary
We Belong Together,Mariah Carey,2000,1,0.838,0.469,0,-7.992,0.0835,0.0358,0,0.0928,0.778,139.975,201400,4,United States,Huntington
Yeah!,Usher,2000,2,0.894,0.791,2,-4.699,0.112,0.0183,0,0.0388,0.583,105.018,250373,4,United States,Atlanta
Low,Flo Rida,2000,3,0.918,0.609,10,-5.64,0.0791,0.0928,0,0.139,0.304,128.008,231400,4,United States,Miami Gardens
I Gotta Feeling,Black Eyed Peas,2000,4,0.741,0.748,0,-6.299,0.0264,0.0823,0,0.34,0.6,127.965,289133,4,United States,Los Angeles
How You Remind Me,Nickelback,2000,5,0.432,0.795,10,-4.023,0.0321,0.00128,0,0.101,0.519,172.011,224173,4,Canada,Hanna
No One,Alicia Keys,2000,6,0.644,0.548,1,-5.416,0.0286,0.0209,0.00000868,0.134,0.166,90.042,253813,4,United States,New York City
Boom Boom Pow,Black Eyed Peas,2000,7,0.869,0.851,9,-6.201,0.0827,0.15,0.000873,0.136,0.395,130.09,251440,4,United States,Los Angeles
Let Me Love You,Mario,2000,8,0.656,0.578,7,-8.97,0.0922,0.235,0,0.118,0.556,94.514,256733,4,United States,Baltimore
Gold Digger,Kanye West & Jamie Foxx,2000,9,0.638,0.699,1,-5.54,0.384,0.0223,0,0.0917,0.66,92.939,207627,4,United States,Atlanta
Apologize,Timbaland & One Republic,2000,10,0.654,0.61,8,-6.051,0.0285,0.0399,0,0.101,0.118,118.032,184400,4,United States,Norfolk
Dillemma,Nelly & Kelly Rowland,2000,11,0.725,0.534,2,-8.364,0.167,0.211,0.0000291,0.221,0.621,168.119,289173,4,United States,Austin
Family Affair,Mary J. Blige,2000,12,0.925,0.56,8,-3.795,0.0436,0.138,0.0000119,0.0861,0.966,92.895,265867,4,United States,New York City
Big Girls Don’t Cry,Fergie,2000,13,0.712,0.647,7,-4.277,0.0336,0.239,0,0.0955,0.292,113.116,268120,4,United States,Hacienda Heights
Maria Maria,Santana & The Product G&B,2000,14,0.777,0.601,2,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4,United States,San Francisco
U Got It Bad,Usher,2000,15,0.816,0.5,1,-4.551,0.03,0.0227,0.00000153,0.0733,0.649,124.037,247840,4,United States,Atlanta
Whatever You Like,T.I.,2000,16,0.68,0.687,9,-6.162,0.0709,0.0161,0,0.261,0.467,150.053,249533,4,United States,Atlanta
Bleeding Love,Leona Lewis,2000,17,0.638,0.656,5,-5.886,0.0357,0.188,0,0.146,0.225,104.036,262467,4,United Kingdom,London
"Independent Women, Part I",Destiny’s Child,2000,18,0.73,0.602,6,-3.782,0.206,0.362,0.00000369,0.169,0.927,97.954,221133,4,United States,Houston
Foolish,Ashanti,2000,19,0.477,0.728,0,-5.71,0.0831,0.358,0,0.11,0.69,89.209,227387,4,United States,Glen Cove
Hey Ya!,Outkast,2000,20,0.715,0.97,0,-2.206,0.0648,0.0644,0.000156,0.205,0.963,79.504,239240,4,United States,East Point
