,Case Number,Date,Year,Type,Country,Activity,Injury,Fatal,Time,Species,Shark Sizes
781,2010.08.02.b,02-Aug-10,2010,Unprovoked,USA,Other activities,"No injury, kayak bitten",N,12h40,White Shark,BIG SHARK
782,2010.08.02.a,02-Aug-10,2010,Unprovoked,USA,Other activities,Lacerations to forearm,N,11h00,BIG SHARK,BIG SHARK
783,2010.07.25,25-Jul-10,2010,Unprovoked,USA,Other activities,Lacerations to right lower leg,N,,BIG SHARK,BIG SHARK
785,2010.07.19,19-Jul-10,2010,Unprovoked,USA,Swimming,Minor lacerations to left calf,N,10h35,Blacktip Shark,SMALL SHARK
786,2010.07.17.b,17-Jul-10,2010,Unprovoked,USA,Swimming,Lacerations to right forearm,N,13h30,Tiger Shark,MIDDLE SHARK
787,2010.07.17.a,17-Jul-10,2010,Unprovoked,USA,Surfing,Minor lacerations to right foot,N,,SMALL SHARK,SMALL SHARK
788,2010.07.16.b,16-Jul-10,2010,Provoked,SPAIN,Swimming,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,19h15,Angel Shark,SMALL SHARK
790,2010.07.11,11-Jul-10,2010,Provoked,USA,Other activities,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
792,2010.07.03,03-Jul-10,2010,Provoked,USA,Other activities,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,12h30,Blue Shark,MIDDLE SHARK
793,2010.07.02.b,02-Jul-10,2010,Unprovoked,USA,Surfing,Laceration to left foot,N,Evening,BIG SHARK,BIG SHARK
795,2010.06.27,27-Jun-10,2010,Unprovoked,USA,Surfing,Lacerations to right foot,N,,Bull Shark,SMALL SHARK
798,2010.06.15,15-Jun-10,2010,Unprovoked,VIETNAM,Swimming,Laceration to left foot,N,17h00,BIG SHARK,BIG SHARK
799,2010.06.10,10-Jun-10,2010,Unprovoked,USA,Other activities,Lacerations to left calf and foot,N,12h30,BIG SHARK,BIG SHARK
802,2010.05.30,30-May-10,2010,Provoked,USA,Other activities,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,08h45,Lemon Shark,MIDDLE SHARK
807,2010.05.01,01-May-10,2010,Unprovoked,USA,Other activities,Minor puncture wounds to right ankle,N,10h30,BIG SHARK,BIG SHARK
808,2010.04.28,28-Apr-10,2010,Provoked,USA,Surfing,Arm bitten PROVOKED INCIDENT ,N,Afternoon,Lemon Shark,MIDDLE SHARK
809,2010.04.19,19-Apr-10,2010,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,16h00,BIG SHARK,BIG SHARK
810,2010.04.13,13-Apr-10,2010,Unprovoked,SOUTH AFRICA,Surfing,Both feet bitten,N,10h00,BIG SHARK,BIG SHARK
811,2010.04.04,04-Apr-10,2010,Unprovoked,EGYPT,Swimming,Lacerations to left ankle and foot,N,14h00,White Shark,BIG SHARK
813,2010.02.19,190Feb-2010,2010,Unprovoked,NEW ZEALAND,Swimming,Bruised but otherwise unhurt,N,Night,Blue Shark,MIDDLE SHARK
814,2010.02.16,16-Feb-10,2010,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to right leg,N,11h00,MIDDLE SHARK,MIDDLE SHARK
816,2010.02.13,13-Feb-10,2010,Unprovoked,AUSTRALIA,Other activities,Lacerations to legs & buttocks,N,13h30,BIG SHARK,BIG SHARK
817,2010.02.11,11-Feb-10,2010,Unprovoked,AUSTRALIA,Surfing,"Minor injury, lacerations to left lower leg",N,08h00,Wobbegong Shark,SMALL SHARK
818,2010.02.06.R,Reported 06-Feb-2010,2010,Provoked,NEW ZEALAND,Other activities,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N,,BIG SHARK,BIG SHARK
819,2010.02.06.b,06-Feb-10,2010,Unprovoked,AUSTRALIA,Other activities,"No injury, shark & board collided",N,15h30,White Shark,BIG SHARK
820,2010.02.06.a,06-Feb-10,2010,Provoked,USA,Surfing,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,15h00,BIG SHARK,BIG SHARK
824,2010.01.30,31-Jan-10,2010,Unprovoked,BRAZIL,Surfing,Foot bitten,N,,Hammerhead Shark,BIG SHARK
828,2010.01.12,12-Jan-10,2010,Unprovoked,SOUTH AFRICA,Other activities,FATAL,Y,15h15,White Shark,BIG SHARK
829,2010.01.09.d,09-Jan-10,2010,Unprovoked,AUSTRALIA,Other activities,2 sets of minor lacerations below her right knee,N,,White Shark,BIG SHARK
837,2009.12.22,22-Dec-09,2009,Unprovoked,MOZAMBIQUE,Swimming,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30,Bull Shark,SMALL SHARK
839,2009.12.20.a,20-Dec-09,2009,Unprovoked,AUSTRALIA,Other activities,Lacerations to hand & forearm,N,07h30,Bull Shark,SMALL SHARK
842,2009.12.16,16-Dec-09,2009,Unprovoked,NEW ZEALAND,Swimming,FATAL,Y,,White Shark,BIG SHARK
844,2009.12.12,12-Dec-09,2009,Boat,AUSTRALIA,Other activities,No injury to occupants; shark bit steering oar,N,07h30,White Shark,BIG SHARK
845,2009.12.06,05-Dec-09,2009,Provoked,USA,Other activities,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13h00,Tiger Shark,MIDDLE SHARK
847,2009.11.24,24-Nov-09,2009,Unprovoked,USA,Other activities,Left foot bitten,N,Morning,BIG SHARK,BIG SHARK
851,2009.11.11,11-Nov-09,2009,Unprovoked,USA,Surfing,Foot bitten,N,Afternoon,BIG SHARK,BIG SHARK
852,2009.11.08,08-Nov-09,2009,Unprovoked,AUSTRALIA,Other activities,Ankle bitten,N,10h30,BIG SHARK,BIG SHARK
854,2009.10.30,30-Oct-09,2009,Unprovoked,AUSTRALIA,Other activities,"No injury, shark bit kayak",N,Morning,White Shark,BIG SHARK
855,2009.10.29.R,Reported 29-Oct-2009,2009,Unprovoked,MOZAMBIQUE,Other activities,Left ankle & foot bitten,N,,Bull Shark,SMALL SHARK
858,2009.10.19,19-Oct-09,2009,Unprovoked,USA,Surfing,Bitten on upper right thigh & right ankle,N,06h00,BIG SHARK,BIG SHARK
860,2009.10.17,17-Oct-09,2009,Provoked,SCOTLAND,Other activities,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14h45,Angel Shark,SMALL SHARK
861,2009.10.14.R,Reported 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Other activities,Severe lacerations to lower right leg,N,,Bull Shark,SMALL SHARK
864,2009.09.26,26-Sep-09,2009,Unprovoked,USA,Swimming,Laceration to right foot,N,17h30,Bull Shark,SMALL SHARK
872,2009.08.30,30-Aug-09,2009,Unprovoked,USA,Surfing,No injury,N,18h30,BIG SHARK,BIG SHARK
873,2009.08.29,29-Aug-09,2009,Unprovoked,SOUTH AFRICA,Surfing,FATAL,Y,15h30,White Shark,BIG SHARK
874,2009.08.25,25-Aug-09,2009,Unprovoked,USA,Swimming,Puncture wounds to left foot & calf,N,16h30,White Shark,BIG SHARK
875,2009.08.11,11-Aug-09,2009,Unprovoked,SOUTH AFRICA,Other activities,"No injury, shark bit bodyboard",N,Lunchtime,White Shark,BIG SHARK
877,2009.08.06,06-Aug-09,2009,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,08h45,Tiger Shark,MIDDLE SHARK
878,2009.08.01,01-Aug-09,2009,Unprovoked,USA,Other activities,Right ankle & foot bitten,N,10h00,Bull Shark,SMALL SHARK
879,2009.07.31,31-Jul-09,2009,Unprovoked,BAHAMAS,Other activities,Lacerations to calf,N,,Bull Shark,SMALL SHARK
888,2009.07.11.b,11-Jul-09,2009,Provoked,BAHAMAS,Other activities,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,,Caribbean Reef Shark,SMALL SHARK
889,2009.07.11.a,11-Jul-09,2009,Unprovoked,USA,Surfing,"No injury, shark collided with surfer & board",N,08h30,BIG SHARK,BIG SHARK
892,2009.07.04,04-Jul-09,2009,Provoked,USA,Swimming,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45,Nurse Shark,MIDDLE SHARK
893,2009.06.27,27-Jun-09,2009,Unprovoked,AUSTRALIA,Surfing,2-inch laceration to upper left arm,N,08h45,Bronze Shark,MIDDLE SHARK
896,2009.06.14.R,Reported 14-Jun-2009,2009,Provoked,VIETNAM,Other activities,Hand bitten by hooked shark PROVOKED INCIDENT,N,,White Shark,BIG SHARK
897,2009.06.02.b,02-Jun-09,2009,Unprovoked,EGYPT,Other activities,Lacerations to left hand,N,,White Shark,BIG SHARK
898,2009.06.02.a,02-Jun-09,2009,Unprovoked,EGYPT,Other activities,3 cm laceration to shoulder,N,,White Shark,BIG SHARK
899,2009.06.01,01-Jun-09,2009,Unprovoked,EGYPT,Other activities,FATAL,Y,Morning,White Shark,BIG SHARK
901,2009.05.25,25-May-09,2009,Provoked,USA,Swimming,Right foot bitten,N,20h30,BIG SHARK,BIG SHARK
902,2009.05.17,17-May-09,2009,Unprovoked,USA,Surfing,Lacerations to left leg & foot,N,09h35,Blacktip Shark,SMALL SHARK
903,2009.05.16.b,16-May-09,2009,Unprovoked,USA,Surfing,Lacerations to right foot,N,10h27,Blacktip Shark,SMALL SHARK
904,2009.05.16.a,16-May-09,2009,Unprovoked,USA,Surfing,Lacerations to right hand,N,10h16,Blacktip Shark,SMALL SHARK
905,2009.05.12,12-May-09,2009,Provoked,GUAM,Other activities,Speared shark bit his forearm PROVOKED INCIDENT,N,Afternoon,Blacktip Shark,SMALL SHARK
906,2009.05.06,06-Mar-09,2009,Provoked,BAHAMAS,Other activities,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,,BIG SHARK,BIG SHARK
912,2009.04.12,12-Apr-09,2009,Unprovoked,AUSTRALIA,Surfing,"No injury, catapulted into the water & ski damage",N,08h00,BIG SHARK,BIG SHARK
913,2009.04.17.,17-Apr-09,2009,Unprovoked,USA,Surfing,Laceration to forearm,N,13h15,BIG SHARK,BIG SHARK
916,2009.04.06.a,06-Apr-09,2009,Unprovoked,USA,Other activities,Shark struck him but the diver was not injured,N,07h45,White Shark,BIG SHARK
918,2009.03.27,27-Mar-09,2009,Provoked,SOUTH AFRICA,Other activities,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,,Raggedtooth Shark,Raggedtooth Shark
920,2009.03.20,20-Mar-09,2009,Unprovoked,AUSTRALIA,Surfing,"Laceration to right foot, puncture wounds to calf",N,18h45,Bronze Shark,MIDDLE SHARK
923,2009.03.18.a,18-Mar-09,2009,Unprovoked,USA,Surfing,Minor bite to ankle,N,17h30,BIG SHARK,BIG SHARK
924,2009.03.17.R,Reported 17-Mar-2009,2009,Unprovoked,MALAYSIA,Other activities,Minor injury,N,,Blacktip Shark,SMALL SHARK
926,2009.03.16.R,Reported 16-Mar-2009,2009,Provoked,AUSTRALIA,Other activities,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,,Wobbegong Shark,SMALL SHARK
928,2009.03.02,02-Mar-09,2009,Provoked,SOUTH AFRICA,Other activities,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,13h30,Blue Shark,MIDDLE SHARK
933,2009.02.12,12-Feb-09,2009,Unprovoked,AUSTRALIA,Surfing,Severe injury to hand ,N,19h30,White Shark,BIG SHARK
934,2009.02.11,11-Feb-09,2009,Unprovoked,AUSTRALIA,Surfing,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00,Bull Shark,SMALL SHARK
936,2009.02.07.b,07-Feb-09,2009,Unprovoked,AUSTRALIA,Surfing,"No injury, surfboard dented",N,11h00,White Shark,BIG SHARK
940,2009.01.25,25-Jan-09,2009,Unprovoked,CUBA,Other activities,Severe lacerations to lower left leg,N,10h30,Bull Shark,SMALL SHARK
943,2009.01.24.a,24-Jan-09,2009,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Y,14h00,Tiger Shark,MIDDLE SHARK
945,2009.01.18,18-Jan-09,2009,Boat,AUSTRALIA,Other activities,"No injury to occupants, shark bit propeller",N,09h20,White Shark,BIG SHARK
948,2009.01.12,12-Jan-09,2009,Unprovoked,AUSTRALIA,Other activities,Puncture wounds to right calf,N,10h45,Dusky Shark,MIDDLE SHARK
949,2009.01.11.b,11-Jan-09,2009,Unprovoked,AUSTRALIA,Surfing,Severe lacerations to right leg,N,15h45,White Shark,BIG SHARK
950,2009.01.11.a,11-Jan-09,2009,Unprovoked,AUSTRALIA,Surfing,Left thigh severely bitten,N,09h00,White Shark,BIG SHARK
951,2009.01.10.R,    10-Jan-2009,2009,Boat,NEW ZEALAND,Other activities,"No injury to occupants, shark hit boat & bit outboard motor",N,,Mako Shark,SMALL SHARK
953,2009.01.06,06-Jan-09,2009,Unprovoked,NEW ZEALAND,Swimming,Posterior thigh bitten,N,17h30,Broadnose Shark,SMALL SHARK
954,2009.01.00,Jan-09,2009,Unprovoked,CUBA,Other activities,Lacerations to right calf,N,,Bull Shark,SMALL SHARK
956,2008.12.27.d,27-Dec-08,2008,Boat,AUSTRALIA,Other activities,No injury to occupants -  shark became entangled in aft rudder,N,,BIG SHARK,BIG SHARK
958,2008.12.27.b,27-Dec-08,2008,Unprovoked,AUSTRALIA,Other activities,"No injury, shark struck kayak, catapulting him into the water",N,11h00,White Shark,BIG SHARK
959,2008.12.27.a,27-Dec-08,2008,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,07h00,White Shark,BIG SHARK
960,2008.12.20,20-Dec-08,2008,Unprovoked,USA,Other activities,"No injury, shark struck paddle",N,15h00,White Shark,BIG SHARK
961,2008.12.14,14-Dec-08,2008,Unprovoked,NEW ZEALAND,Other activities,Lacerations to left calf and ankle,N,,Bronze Shark,MIDDLE SHARK
962,2008.12.10,10-Dec-08,2008,Provoked,SOUTH AFRICA,Other activities,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,Raggedtooth Shark,Raggedtooth Shark
963,2008.12.06,06-Dec-06,2008,Boat,AUSTRALIA,Other activities,Shark bit boats sea anchor,N,Morning,White Shark,BIG SHARK
964,2008.12.00,Dec-08,2008,Unprovoked,MOZAMBIQUE,Other activities,FATAL,Y,,Bull Shark,SMALL SHARK
965,2008.11.28,28-Nov-08,2008,Unprovoked,EGYPT,Other activities,Lacerations to fingers,N,Morning,White Shark,BIG SHARK
968,2008.11.09.b,09-Nov-08,2008,Boat,AUSTRALIA,Other activities,"No injury to occupant, shark bit dinghy & motor",N,,Bronze Shark,MIDDLE SHARK
971,2008.10.22,22-Oct-08,2008,Provoked,AUSTRALIA,Other activities,Small laceration to head from captive shark,N,17h20,Grey Shark,SMALL SHARK
972,2008.10.21,21-Oct-08,2008,Unprovoked,NEW CALEDONIA,Other activities,Legs bitten,N,11h00,Lemon Shark,MIDDLE SHARK
976,2008.10.06,06-Oct-08,2008,Unprovoked,CROATIA,Other activities,Calf bitten,N,12h00,White Shark,BIG SHARK
978,2008.09.28.a,28-Sep-08,2008,Unprovoked,USA,Surfing,Right foot bitten,N,11h00,BIG SHARK,BIG SHARK
979,2008.09.15,15-Sep-08,2008,Provoked,AUSTRALIA,Swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Bronze Shark,MIDDLE SHARK
980,2008.09.14,14-Sep-08,2008,Unprovoked,USA,Swimming,Lacerations to foot,N,12h00,BIG SHARK,BIG SHARK
981,2008.09.09,09-Sep-08,2008,Unprovoked,USA,Surfing,Bitten on right thigh & calf,N,16h30,Tiger Shark,MIDDLE SHARK
982,2008.09.08,08-Sep-08,2008,Unprovoked,USA,Surfing,"No injury to surfer, board bitten",N,10h30,White Shark,BIG SHARK
983,2008.09.07,07-Sep-08,2008,Unprovoked,AUSTRALIA,Surfing,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,MIDDLE SHARK,MIDDLE SHARK
986,2008.09.01,01-Sep-08,2008,Unprovoked,USA,Surfing,Shark bumped right ankle,N,10h00,BIG SHARK,BIG SHARK
990,2008.08.30.a,30-Aug-08,2008,Provoked,ENGLAND,Other activities,Wrist bitten by hooked shark PROVOKED INCIDENT,N,,Blue Shark,MIDDLE SHARK
992,2008.08.27,27-Aug-08,2008,Unprovoked,USA,Surfing,Lacerations to lower left leg,N,11h00,BIG SHARK,BIG SHARK
997,2008.08.16,16-Aug-08,2008,Unprovoked,USA,Other activities,Severe lacerations to left foot,N,Dusk,Caribbean Reef Shark,SMALL SHARK
999,2008.08.11,11-Aug-08,2008,Unprovoked,USA,Other activities,"No injury, shark grabbed his bag of fish",N,14h00,Tiger Shark,MIDDLE SHARK
1000,2008.07.30.R,30-Jul-08,2008,Unprovoked,AUSTRALIA,Surfing,"No injury, surfboard leash severed",N,10h30,White Shark,BIG SHARK
1001,2008.07.30,Reported 30-Jul-2008,2008,Unprovoked,SOUTH AFRICA,Other activities,Lacerations to fingers,N,,White Shark,BIG SHARK
1002,2008.07.27,27-Jul-08,2008,Unprovoked,PANAMA,Swimming,5 lacerations to left foot,N,18h00,BIG SHARK,BIG SHARK
1003,2008.07.26.b,26-Jul-08,2008,Unprovoked,MEXICO,Swimming,3 puncture wounds to toe,N,,BIG SHARK,BIG SHARK
1004,2008.07.26.a,26-Jul-08,2008,Unprovoked,USA,Swimming,Minor injury,N,15h30,BIG SHARK,BIG SHARK
1007,2008.07.24.b,24-Jul-08,2008,Unprovoked,USA,Other activities,Minor lacerations to  toe,N,,BIG SHARK,BIG SHARK
1008,2008.07.24.a,24-Jul-08,2008,Unprovoked,USA,Other activities,Lacerations to dorsum of right foot ,N,13h00,BIG SHARK,BIG SHARK
1010,2008.07.19,19-Jul-08,2008,Unprovoked,USA,Other activities,Lacerations to lower left leg,N,13h55,BIG SHARK,BIG SHARK
1011,2008.07.18,18-Jul-08,2008,Unprovoked,EGYPT,Other activities,Leg severed,N,,White Shark,BIG SHARK
1018,2008.06.28.b,28-Jun-08,2008,Unprovoked,BAHAMAS,Other activities,Lacerations to calf,N,11h00,Bull Shark,SMALL SHARK
1019,2008.06.28.a,28-Jun-08,2008,Unprovoked,SOUTH AFRICA,Surfing,"No injury, ski bitten",N,14h00,White Shark,BIG SHARK
1020,2008.06.26.R,Reported 26-Jun-2008,2008,Unprovoked,SOUTH AFRICA,Other activities,No injury,N,,White Shark,BIG SHARK
1022,2008.06.26.a,26-Jun-08,2008,Unprovoked,USA,Swimming,Lacerations to hand,N,11h15,BIG SHARK,BIG SHARK
1024,2008.06.21,21-Jun-08,2008,Unprovoked,USA,Other activities," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,White Shark,BIG SHARK
1028,2008.06.02.R,Reported 02-Jun-2008,2008,Boat,SCOTLAND,Other activities,No injury to occupants; shark struck their boat,N,,Basking Shark,Basking Shark
1029,2008.06.01.b,01-Jun-08,2008,Unprovoked,USA,Surfing,Foot bitten,N,18h30,BIG SHARK,BIG SHARK
1030,2008.06.01.a,01-Jun-08,2008,Unprovoked,BRAZIL,Swimming,"Hand severed, buttocks bitten",N,15h00,Bull Shark,SMALL SHARK
1032,2008.05.24.b,24-May-08,2008,Sea Disaster,BAHAMAS,Other activities,Boat capsized in squall. 2 bodies scavenged  by sharks,N,,Tiger Shark,MIDDLE SHARK
1033,2008.05.24.a,24-May-08,2008,Unprovoked,MEXICO,Surfing,Lacerations to right forearm and hand,N,Early morning,MIDDLE SHARK,MIDDLE SHARK
1034,2008.05.23,23-May-08,2008,Unprovoked,MEXICO,Surfing,FATAL,Y,,BIG SHARK,BIG SHARK
1036,2008.05.10,10-May-08,2008,Unprovoked,AUSTRALIA,Swimming,Severe lacerations to left leg,N,07h30,White Shark,BIG SHARK
1037,2008.05.07.b,07-May-08,2008,Unprovoked,NEW CALEDONIA,Other activities,Lower legs bitten,N,14h00,Bull Shark,SMALL SHARK
1040,2008.04.28.b,28-Apr-08,2008,Unprovoked,MEXICO,Surfing,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger Shark,MIDDLE SHARK
1041,2008.04.28.a,28-Apr-08,2008,Unprovoked,USA,Surfing,3-inch laceration to dorsal surface of left foot,N,11h45,BIG SHARK,BIG SHARK
1043,2008.04.26.b,26-Apr-08,2008,Unprovoked,NEW CALEDONIA,Swimming,Lacerations to left foot,N,Morning,Bull Shark,SMALL SHARK
1045,2008.04.25,25-Apr-08,2008,Unprovoked,USA,Swimming,FATAL,Y,07h00,White Shark,BIG SHARK
1047,2008.04.20.a,20-Apr-08,2008,Unprovoked,AUSTRALIA,Other activities,,UNKNOWN,,Tiger Shark,MIDDLE SHARK
1048,2008.04.19.R,Reported 19-Apr-2008,2008,Invalid,SOUTH AFRICA,Other activities,"As he pushd the shark away from his camera, his finger was cut on a tooth",N,,Tiger Shark,MIDDLE SHARK
1051,2008.04.15,15-Apr-08,2008,Unprovoked,USA,Surfing,Puncture wounds to right foot,N,15h00,BIG SHARK,BIG SHARK
1052,2008.03.28.a,28-Mar-08,2008,Unprovoked,USA,Other activities,Right foot bitten,N,,SMALL SHARK,SMALL SHARK
1055,2008.04.08,08-Apr-08,2008,Unprovoked,AUSTRALIA,Other activities,FATAL,Y,08h05,Bull Shark,SMALL SHARK
1058,2008.03.28.b,28-Mar-08,2008,Unprovoked,USA,Surfing,Foot bitten,N,18h50,BIG SHARK,BIG SHARK
1059,2008.03.25,25-Mar-08,2008,Unprovoked,USA,Other activities,Shin bitten,N,,BIG SHARK,BIG SHARK
1060,2008.03.23,23-Mar-08,2008,Unprovoked,USA,Surfing,Three small lacerations/ punctures to right foot,N,11h30,BIG SHARK,BIG SHARK
1063,2008.03.07,07-Mar-08,2008,Unprovoked,USA,Surfing,"No injury to surfer, surfboard bitten by the shark",N,08h00,White Shark,BIG SHARK
1064,2008.02.24,24-Feb-08,2008,Unprovoked,BAHAMAS,Other activities,"Leg bitten, FATAL",Y,10h00,Bull Shark,SMALL SHARK
1067,2008.02.07,07-Feb-08,2008,Unprovoked,AUSTRALIA,Surfing,Abrasions to elbow; collided with shark,N,,BIG SHARK,BIG SHARK
1068,2008.02.06,06-Feb-08,2008,Unprovoked,USA,Surfing,Lacerations to foot,N,,BIG SHARK,BIG SHARK
1069,2008.01.29,29-Jan-08,2008,Unprovoked,SOUTH AFRICA,Surfing,"No injury to surf-skiier, shark holed ski",N,,Blacktip Shark,SMALL SHARK
1070,2008.01.27,27-Jan-08,2008,Provoked,AUSTRALIA,Other activities,Laceration to left knee PROVOKED INCIDENT,N,07h30,Mako Shark,SMALL SHARK
1072,2008.01.14,14-Jan-08,2008,Boat,NEW ZEALAND,Other activities,"No injury to occupants, pontoon punctured",N,14h00,Bronze Shark,MIDDLE SHARK
1073,2008.01.10,10-Jan-08,2008,Unprovoked,USA,Surfing,Left foot bitten,N,,SMALL SHARK,SMALL SHARK
1074,2008.00.00.b,Fall 2008,2008,Provoked,USA,Other activities,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,,Nurse Shark,MIDDLE SHARK
1075,2008.00.00.a,Summer-2008,2008,Unprovoked,MEXICO,Surfing,Leg bitten,N,,Hammerhead Shark,BIG SHARK
1076,2007.12.21,21-Dec-07,2007,Unprovoked,ECUADOR,Surfing,Lacerations & puncture wounds  to left thigh,N,,MIDDLE SHARK,MIDDLE SHARK
1078,2007.12.18,18-Dec-07,2007,Unprovoked,AUSTRALIA,Surfing,Severe lacerations to right buttock,N,11h00,BIG SHARK,BIG SHARK
1079,2007.12.15,15-Dec-07,2007,Unprovoked,AUSTRALIA,Swimming,Lacerations to hand,N,,SMALL SHARK,SMALL SHARK
1081,2007.12.10,10-Dec-07,2007,Unprovoked,USA,Surfing,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger Shark,MIDDLE SHARK
1086,2007.11.07,07-Nov-07,2007,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to feet,N,17h30,BIG SHARK,BIG SHARK
1087,2007.11.06,06-Nov-07,2007,Unprovoked,USA,Surfing,Cut to right knee,N,11h115,BIG SHARK,BIG SHARK
1088,2007.11.04,04-Nov-07,2007,Unprovoked,USA,Surfing,Lacerations to right leg,N,09h00,BIG SHARK,BIG SHARK
1089,2007.11.03,03-Nov-07,2007,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to thigh,N,08h45,White Shark,BIG SHARK
1091,2007.10.29,29-Oct-07,2007,Unprovoked,USA,Other activities,Lacerations to left lower leg,N,15h30,Tiger Shark,MIDDLE SHARK
1092,2007.10.15,15-Oct-07,2007,Unprovoked,AUSTRALIA,Surfing,small laceration to wrist,N,11h30,White Shark,BIG SHARK
1093,2007.10.13,13-Oct-07,2007,Unprovoked,AUSTRALIA,Other activities,Laceration to calf,N,12h00,Bronze Shark,MIDDLE SHARK
1094,2007.10.07,07-Oct-07,2007,Unprovoked,USA,Surfing,4 scratches on left hand,N,20h30,BIG SHARK,BIG SHARK
1095,2007.10.06,06-Oct-07,2007,Unprovoked,USA,Surfing,Severe lacerations to right hand,N,08h10,Blacktip Shark,SMALL SHARK
1098,2007.09.30.a,30-Sep-07,2007,Unprovoked,NEW CALEDONIA,Swimming,FATAL,Y,Early morning,Tiger Shark,MIDDLE SHARK
1099,2007.09.28,28-Sep-07,2007,Unprovoked,BAHAMAS,Other activities,Thigh bitten,N,12h00,Caribbean Reef Shark,SMALL SHARK
1100,2007.09.27.b,27-Sep-07,2007,Unprovoked,USA,Surfing,"No injury to surfer, surfboard bitten",N,08h15,White Shark,BIG SHARK
1101,2007.09.27.a,27-Sep-07,2007,Unprovoked,EGYPT,Swimming,"Severe lacerations to lower left leg, ankle and foot",N,07h00,White Shark,BIG SHARK
1103,2007.09.22.a,22-Sep-07,2007,Unprovoked,USA,Surfing,Laceration to foot,N,,BIG SHARK,BIG SHARK
1104,2007.09.20,20-Sep-07,2007,Unprovoked,USA,Surfing,Small lacerations to bottom of right big toe,N,18h20,BIG SHARK,BIG SHARK
1105,2007.09.17,17-Sep-07,2007,Unprovoked,SOLOMON ISLANDS,Other activities,Left thigh bitten,N,Dusk,Grey Shark,SMALL SHARK
1107,2007.09.16.a,16-Sep-07,2007,Unprovoked,USA,Surfing,"No injury, surfboard bitten",N,Early morning,BIG SHARK,BIG SHARK
1108,2007.09.13,13-Sep-07,2007,Unprovoked,USA,Other activities,"Minor injury, shark latched onto his abdomen",N,16h00,Nurse Shark,MIDDLE SHARK
1114,2007.08.28.b,28-Aug-07,2007,Unprovoked,USA,Other activities,Laceration to right heel,N,16h30,Tiger Shark,MIDDLE SHARK
1115,2007.08.28.a,28-Aug-07,2007,Unprovoked,USA,Surfing,Lacerations to thigh & torso,N,10h45,White Shark,BIG SHARK
1116,2007.08.26,26-Aug-07,2007,Unprovoked,USA,Surfing,Left hand  bitten,N,14h00,BIG SHARK,BIG SHARK
1117,2007.08.25,25-Aug-07,2007,Unprovoked,USA,Surfing, 6 lacerations to left hand,N,Morning,BIG SHARK,BIG SHARK
1118,2007.08.22,22-Aug-07,2007,Provoked,USA,Other activities,Minor injury from captive shark PROVOKED INCIDENT,N,,Sand Shark,MIDDLE SHARK
1119,2007.08.20,20-Aug-07,2007,Provoked,USA,Other activities,Forearm bitten by hooked shark PROVOKED INCIDENT,N,19h45,Tiger Shark,MIDDLE SHARK
1121,2007.08.19.b,19-Aug-07,2007,Unprovoked,USA,Surfing,Foot bitten,N,12h39,BIG SHARK,BIG SHARK
1123,2007.08.15,15-Aug-07,2007,Unprovoked,USA,Other activities,Puncture wounds to torso,N,Night,Bull Shark,SMALL SHARK
1128,2007.08.07,07-Aug-07,2007,Unprovoked,USA,Other activities,Lacerations to arm,N,Afternoon,Bull Shark,SMALL SHARK
1131,2007.07.22,22-Jul-07,2007,Unprovoked,USA,Surfing,"No injury, surfboard bumped by shark for 20 minutes",N,,White Shark,BIG SHARK
