,Month,Year,Type,Country,Area,Activity,Sex,Injury,Fatal,original order
90,Feb,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,M,Minor injury to wrist from Southern stingray,N,5903
91,Feb,2016,Invalid,AUSTRALIA,Tasmania,Surfing,M,"No injury, knocked off board",N,5902
92,Feb,2016,Unprovoked,AUSTRALIA,Queensland,Walking,F,Foot nipped,N,5901
93,Feb,2016,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,M,"No injury, shark bit board",N,5900
94,Jan,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,"No injury, shark capsized kayak",N,5899
95,Jan,2016,Unprovoked,USA,Hawaii,Surfing,M,Lacerations to both hands,N,5898
96,Jan,2016,Unprovoked,USA,Hawaii,Surfing,F,No injury,N,5897
97,Jan,2016,Unprovoked,USA,Texas,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,5896
98,Jan,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,M,"No injury to occupants, shark leapt into boat",N,5895
99,Jan,2016,Unprovoked,USA,Hawaii,Paddle boarding,M,No injury,N,5894
100,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Surfing,M,Laceration to right foot,N,5893
101,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Wading,M,Laceration to right calf,N,5892
102,Jan,2016,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Lacerations to arms & leg,N,5891
103,Dec,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,M,"No injury, kayak damaged",N,5890
104,Dec,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,Lacerations to left forearm,N,5889
105,Dec,2015,Unprovoked,USA,Hawaii,Paddle boarding,M,"No injury, shark bit board",N,5888
106,Dec,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark leapt on surfboard",N,5887
107,Dec,2015,Unprovoked,BRAZIL,Pernambuco,Scuba diving,M,Right hand & part of forearm removed,N,5886
108,Dec,2015,Unprovoked,ARUBA,,Sea disaster,M,FATAL,Y,5885
110,Dec,2015,Unprovoked,BAHAMAS,,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,5883
111,Dec,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,F,Lacerations to both hands and forearms,N,5882
112,Nov,2015,Unprovoked,USA,Florida,Surfing,M,Right heel injured,N,5880
113,Nov,2015,Unprovoked,USA,Florida,Swimming,F,Leg injured,N,5879
114,Nov,2015,Unprovoked,USA,Florida,Surfing,M,Lacerations to hand,N,5878
115,Nov,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Injury to left thigh,N,5877
116,Nov,2015,Invalid,USA,Florida,Surfing,F,Lower left leg injured,N,5876
117,Nov,2015,Unprovoked,USA,Hawaii,Swimming,M,Laceration to right ankle,N,5875
118,Nov,2015,Unprovoked,USA,Florida,Wading,F,Injury to right ankle/calf & hand,N,5874
119,Nov,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,"Arms severely injured, surgically amputated",N,5873
120,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,Minor injury,N,5872
121,Oct,2015,Unprovoked,USA,Hawaii,Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,5871
122,Oct,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"Lacerations to right calf, knee & hip",N,5870
123,Oct,2015,Unprovoked,USA,Florida,Surfing,M,Lacerations to left hand,N,5869
124,Oct,2015,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,5868
125,Oct,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,F,FATAL,Y,5867
126,Oct,2015,Invalid,USA,Hawaii,Surfing,M,Left foot bitten by eel,N,5866
127,Oct,2015,Unprovoked,USA,Hawaii,Swimming,M,Injuries to lower legs,N,5865
128,Oct,2015,Boat,USA,California,Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,5864
129,Oct,2015,Unprovoked,USA,South Carolina,Boogie boarding,F,Laceration to forearm,N,5863
130,Oct,2015,Unprovoked,USA,Hawaii,Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,5862
131,Oct,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,"Arm severely injured, surgically amputated",N,5861
132,Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Foot injured,N,5860
133,Oct,2015,Unprovoked,USA,Florida,Body boarding,M,2 lacerations to ankle,N,5859
134,Oct,2015,Unprovoked,USA,Texas,Wading,M,Foot & hands bitten,N,5858
135,Oct,2015,Unprovoked,USA,Florida,Surfing,M,Severe lacerations to left hand,N,5857
136,Sep,2015,Unprovoked,USA,Florida,Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,5856
137,Sep,2015,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,Laceration to leg,N,5855
138,Sep,2015,Unprovoked,USA,California,Kayak fishing,M,"No injury, kayak damaged",N,5854
139,Sep,2015,Unprovoked,USA,Florida,Surfing,M,Minor injury to left ankle,N,5853
140,Sep,2015,Unprovoked,USA,Hawaii,Spearfishing,M,Severe laceration to left leg,N,5852
141,Sep,2015,Unprovoked,USA,Florida,Wading,M,Significant injuries to leg,N,5851
142,Sep,2015,Unprovoked,USA,Florida,Photographing fish,M,Injury to right hand / wrist,N,5850
143,Sep,2015,Unprovoked,USA,Florida,Swimming,M,Lacerations to calf,N,5849
144,Sep,2015,Unprovoked,USA,Florida,Surfing,M,Injury to right foot,N,5848
145,Sep,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor laceration to hand,N,5847
146,Sep,2015,Unprovoked,USA,California,Stand-Up Paddleboarding,F,"No injury, shark struck board, tossing her into the sea",N,5846
147,Sep,2015,Provoked,USA,California,Kayak Fishing,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,5845
148,Sep,2015,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,Inuries to lower left leg & ankle,N,5844
149,Sep,2015,Unprovoked,USA,South Carolina,,M,Right foot bitten,N,5843
150,Sep,2015,Unprovoked,THAILAND,Phuket,Wading,F,Left foot & ankle bitten,N,5842
151,Sep,2015,Unprovoked,FIJI,,Spearfishing,M,Leg bitten,N,5841
152,Aug,2015,Unprovoked,USA,California,Surfing,F,"No injury, surfboard bitten",N,5840
153,Aug,2015,Unprovoked,USA,California,Surfing,M,"No injury, shark struk sufer's leg and his board",N,5839
154,Aug,2015,Invalid,USA,Florida,,M,Wound to right lower leg,N,5838
155,Aug,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe laceration to left buttock & thigh,N,5837
156,Aug,2015,Unprovoked,USA,South Carolina,Surfing,M,"Injuries to left calf, arm and hand",N,5836
157,Aug,2015,Unprovoked,USA,Florida,Walking,F,Lacerations to right leg,N,5835
158,Aug,2015,Unprovoked,USA,California,Kayak Fishing,M,"No injury, kayak bitten",N,5834
159,Aug,2015,Invalid,SPAIN,Alicante,Swimming,M,Minor injury when he attempted to touch a fish. ,N,5833
160,Aug,2015,Provoked,USA,California,Spearfishing,M,Right hand bitten  PROVOKED INCIDENT,N,5832
161,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,5831
162,Jul,2015,Unprovoked,USA,Florida,Surfing,M,Minor injury to sole of foot,N,5830
163,Jul,2015,Invalid,USA,South Carolina,Floating,F,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,5829
164,Jul,2015,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,M,FATAL,Y,5828
165,Jul,2015,Provoked,USA,California,Kayak Fishing,M,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,5827
166,Jul,2015,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Left hand bitten,N,5826
167,Jul,2015,Unprovoked,REUNION,,Surfing,M,Arm bitten,N,5825
168,Jul,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,No injury,N,5824
169,Jul,2015,Unprovoked,USA,California,Surfing,M,"No injury, shark bumped & damaged board",N,5823
170,Jul,2015,Invalid,USA,California,Treading water,M,Laceration to back,N,5822
171,Jul,2015,Invalid,FRENCH POLYNESIA,Bora Bora,Swimming,M,Parallel lacerations to torso inconsistent with shark bite,N,5821
172,Jul,2015,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,F,Lacerations to lower leg & ankle,N,5820
173,Jul,2015,Unprovoked,USA,North Carolina,,M,Lacerations to right hand & forearm,N,5819
174,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark bit surfboard",N,5818
175,Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,M,Significant injuries to lower legs,N,5817
176,Jul,2015,Unprovoked,USA,North Carolina,Swimming,M,"Injuries to torso, hip, lower leg & hands",N,5816
177,Jun,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Hand bitten,N,5815
178,Jun,2015,Unprovoked,USA,South Carolina,Playing in the water,M,Shallow lacerations & puncture to lateral left leg,N,5814
179,Jun,2015,Unprovoked,USA,North Carolina,Swimming,M,"Injuries to right calf, buttock and both hands",N,5813
180,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Body Boarding,M,"Right leg severed, multiple lacerations to left leg",N,5812
181,Jun,2015,Invalid,USA,Florida,Swimming,F,Minor lacerations to leg,N,5811
182,Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Multiple lacerations to torso & leg,N,5810
183,Jun,2015,Unprovoked,USA,South Carolina,Standing,M,Puncture wounds to foot,N,5809
184,Jun,2015,Provoked,AUSTRALIA,Western Australia,Swimming,M,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,5808
185,Jun,2015,Unprovoked,USA,North Carolina,Body surfing?,M,Multiple lacerations to back,N,5807
186,Jun,2015,Unprovoked,USA,North Carolina,Swimming,M,Minor injury to foot,N,5806
187,Jun,2015,Invalid,AUSTRALIA,Western Australia,Surfing,F,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,5805
188,Jun,2015,Unprovoked,USA,South Carolina,Standing,M,Minor injury to calf ,N,5804
189,Jun,2015,Unprovoked,PUERTO RICO,,Spearfishing,M,Injury to hand,N,5803
190,Jun,2015,Unprovoked,USA,Florida,Swimming,M,Minor injury to calf ,N,5802
191,Jun,2015,Unprovoked,USA,North Carolina,Wading,M,Arm amputated below shoulder,N,5801
192,Jun,2015,Unprovoked,USA,North Carolina,Wading,F,Left arm amputated at elbow & severe injury to leg,N,5800
193,Jun,2015,Unprovoked,USA,California,,F,Severe laceration to leg,N,5799
194,Jun,2015,Unprovoked,USA,North Carolina,Boogie boarding,F,Minor lacerations to foot,N,5798
195,Jun,2015,Unprovoked,USA,Florida,Playing,M,Lacerations to right calf,N,5797
196,Jun,2015,Unprovoked,USA,Florida,Attempting to rescue a shark,F,Puncture wound to finger,N,5796
197,Jun,2015,Unprovoked,REUNION,Le Port,Surfing,M,Left forearm bitten,N,5795
198,May,2015,Unprovoked,USA,Florida,Standing,F,Left foot bitten,N,5794
199,May,2015,Unprovoked,USA,Florida,Wading,F,Minor lacerations to dorsum of right foot,N,5793
200,May,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Spearfishing,M,Lacerations to right forearm,N,5792
201,May,2015,Unprovoked,USA,Florida,Swimming,F,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,5791
202,May,2015,Unprovoked,USA,Florida,Surfing,M,2 puncture wounds to  dorsum of left foot,N,5790
203,May,2015,Unprovoked,USA,South Carolina,,M,Laceration to foot ,N,5789
204,May,2015,Unprovoked,NEW CALEDONIA,,Snorkeling,M,FATAL,Y,5788
205,May,2015,Unprovoked,USA,Florida,Swimming,M,"Lacerations to lower left leg, ankle & foot",N,5787
206,May,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Injuries to left arm & right hand,N,5786
207,May,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Diving,M,"Injuries to leg, left arm & both hands",N,5785
208,Apr,2015,Unprovoked,USA,Hawaii,Snorkeling,F,FATAL,Y,5784
209,Apr,2015,Unprovoked,USA,Florida,Wading,M,Lacerations to left calf,N,5783
210,Apr,2015,Unprovoked,AUSTRALIA,South Australia,Surfing,M,Leg severed at mid-thigh,N,5782
211,Jun,2015,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,"No injury, knocked off ski",N,5781
212,Apr,2015,Unprovoked,USA,Florida,Photographing the shark,M,Lacerations to shoulder and left bicep,N,5780
213,Apr,2015,Unprovoked,AUSTRALIA,New South Wales,Paddle boarding,M,Ankle injured,N,5779
214,Apr,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Surfing,M,FATAL,Y,5778
215,Mar,2015,Invalid,BRAZIL,Pernambuco,Surfing,M,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N,5777
216,Apr,2015,Unprovoked,USA,Florida,Spearfishing,M,Injuries to head & torso,N,5776
217,Mar,2015,Invalid,ITALY,Sardinia,Diving,M,"FATAL, but shark involvement prior to death unconfirmed",Y,5775
218,Mar,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,M,No injury but kayak bitten,N,5774
219,Mar,2015,Unprovoked,EGYPT,,Swimming,M,FATAL,Y,5773
220,Mar,2015,Unprovoked,USA,Hawaii,Standing / Snorkeling,M,Lacerations to left forearm. Lacerations to left hand and thigh,N,5772
221,Mar,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Hand feeding sharks,M,Hand bitten,N,5771
222,Mar,2015,Boat,AUSTRALIA,New South Wales,Fishing,M,Bruised in falling overboard as shark bumped boat,N,5770
223,Mar,2015,Provoked,MEXICO,Sinaloa,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,5769
224,Mar,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,Sitting in the water,M,Thigh bitten,N,5768
226,Feb,2015,Unprovoked,REUNION,d��tang-Sal�,Swimming,F,FATAL,Y,5766
227,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,FATAL,Y,5765
228,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Laceration & puncture wounds to right flank & hip,N,5764
229,Feb,2015,Unprovoked,AUSTRALIA,New South Wales,Bodysurfing,M,5 minor puncture wounds to lower left leg,N,5763
230,Jan,2015,Boat,AUSTRALIA,Queensland,Rowing,M,"No injury, shark's teeth scratched hull",N,5762
231,Jan,2015,Provoked,USA,Hawaii,Shark fishing,M,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,5761
232,Jan,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard dented",N,5760
233,Jan,2015,Boat,USA,Florida,Fishing,M,No injury but shark bit trolling motor & rammed boat,N,5759
234,Jan,2015,Invalid,AUSTRALIA,New South Wales,Surfing & filming dolphins,F,Board snapped in two,N,5758
235,Jan,2015,Boat,AUSTRALIA,New South Wales,Fishing,M,"Shark bumped boat, no injury to occupants",N,5757
236,Jan,2015,Unprovoked,AUSTRALIA,New South Wales,Filming,M,Bitten on hand & wrist,N,5756
237,Jan,2015,Invalid,USA,Florida,Swimming after falling overboard,M,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N,5755
238,Jan,2015,Unprovoked,BAHAMAS,Abaco Islands,Snorkeling,F,Severe bite to right flank,N,5754
239,Jan,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,5753
240,Jan,2015,Unprovoked,USA,Florida,,M,Leg bitten,N,5752
242,Dec,2014,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,FATAL,Y,5750
245,Dec,2014,Unprovoked,USA,California,Surfing,M,Injury to hip/leg,N,5747
246,Dec,2014,Provoked,AUSTRALIA,Victoria,Fishing,M,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,5746
247,Dec,2014,Unprovoked,JAPAN,,Diving / Filming,M,"No injury, shark snagged its teeth in diver's suit",N,5745
248,Dec,2014,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,FATAL,Y,5744
249,Dec,2014,Provoked,SPAIN,Granada,Fishing for blue sharks,M,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,5743
250,Nov,2014,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Minor injuries to right leg,N,5742
251,Nov,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Fishing,M,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,5741
252,Nov,2014,Boat,AUSTRALIA,Western Australia,Fishing,M,"Shark chasing fish bumped boat, no injury to occupants",N,5740
253,Nov,2014,Unprovoked,USA,Florida,Surfing,M,Laceration to left hand,N,5739
255,Nov,2014,Unprovoked,USA,Hawaii,Snorkeling,M,Laceration to left upper leg,N,5738
256,Nov,2014,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor injury to lower leg and foot,N,5737
257,Nov,2014,Unprovoked,USA,Florida,Surfing,M,Minor injuries to hand & arm ,N,5736
258,Oct,2014,Unprovoked,USA,Hawaii,Surfing,F,Lacerations to fingers,N,5735
259,Oct,2014,Provoked,AUSTRALIA,New South Wales,Surfing,M,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,5734
260,Oct,2014,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,F,"No injury, paddleboard bitten",N,5733
261,Oct,2014,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,"No injury, paddleboard bitten",N,5732
262,Oct,2014,Boat,USA,California,Canoeing,F,"No injury to occupant, canoe bitten",N,5731
263,Oct,2014,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,5730
264,Oct,2014,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,"Lacerations to left calf & ankle, puncture wounds to left foot",N,5729
265,Oct,2014,Unprovoked,USA,South Carolina,Standing in inner tube,F,Lacerations to left foot,N,5728
266,Oct,2014,Unprovoked,USA,Florida,Body surfing or Boogie boarding,F,Laceration to right hand/wrist,N,5727
267,Oct,2014,Unprovoked,USA,Florida,Fishing,F,Thigh bitten,N,5726
268,Oct,2014,Boat,AUSTRALIA,Western Australia,Kayaking,M,"Kayak deflated, no injury to occupants",N,5725
