Year,Month,Country,Area,Type,Age,Sex,Activity,Fatal (Y/N)
2015,01,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2015,01,USA,Florida,Boat,Unknown,M,Fishing,N
2015,01,AUSTRALIA,New South Wales,Boat,Unknown,M,Fishing,N
2015,01,BAHAMAS,Abaco Islands,Unprovoked,34,F,Snorkeling,N
2015,01,SOUTH AFRICA,Eastern Cape Province,Unprovoked,15,M,Surfing,N
2015,01,USA,Florida,Unprovoked,12,M,Unknown,N
2014,12,AUSTRALIA,New South Wales,Unprovoked,Unknown,Unknown,Surfing,N
2014,12,AUSTRALIA,Western Australia,Unprovoked,17,M,Spearfishing,Y
2014,12,SOUTH AFRICA,KwaZulu-Natal,Invalid,Unknown,Unknown,Swimming,N
2014,12,USA,California,Unprovoked,50,M,Surfing,N
2014,12,AUSTRALIA,Victoria,Provoked,40s,M,Fishing,N
2014,12,AUSTRALIA,Queensland,Unprovoked,17,M,Spearfishing,Y
2014,11,AUSTRALIA,Western Australia,Unprovoked,13,M,Surfing,N
2014,11,AUSTRALIA,Western Australia,Boat,Unknown,M,Fishing,N
2014,11,USA,Florida,Unprovoked,44,M,Surfing,N
2014,11,USA,California,Boat,Unknown,Unknown,Unknown,N
2014,11,USA,Hawaii,Unprovoked,53,M,Snorkeling,N
2014,11,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2014,11,USA,Florida,Unprovoked,18,M,Surfing,N
2014,10,USA,Hawaii,Unprovoked,34,F,Surfing,N
2014,10,AUSTRALIA,New South Wales,Provoked,20,M,Surfing,N
2014,10,USA,Hawaii,Unprovoked,Unknown,M,Surfing,N
2014,10,AUSTRALIA,New South Wales,Unprovoked,13,F,Surfing,N
2014,10,USA,Florida,Unprovoked,40,F,Fishing,N
2014,10,AUSTRALIA,Western Australia,Boat,Unknown,M,Kayaking,N
2014,10,USA,Florida,Unprovoked,29,M,Surfing,N
2014,10,USA,Florida,Unprovoked,15,M,Surfing,N
2014,10,USA,California,Boat,Unknown,M,Kayaking,N
2014,10,USA,California,Unprovoked,28,M,Surfing,N
2014,10,AUSTRALIA,Western Australia,Unprovoked,23,M,Surfing,N
2014,09,USA,Florida,Unprovoked,Unknown,M,Surfing,N
2014,09,USA,California,Invalid,Unknown,M,Surfing,N
2014,09,AUSTRALIA,New South Wales,Unprovoked,50,M,Swimming,Y
2014,09,USA,Florida,Provoked,52,M,Fishing,N
2014,08,USA,Florida,Unprovoked,13,F,Surfing,N
2014,08,USA,Florida,Unprovoked,17,M,Surfing,N
2014,08,USA,Florida,Invalid,Unknown,Unknown,Unknown,N
2014,08,USA,North Carolina,Unprovoked,29,M,Surfing,N
2014,08,USA,South Carolina,Unprovoked,Unknown,F,Standing,N
2014,08,AUSTRALIA,Western Australia,Unprovoked,31,M,Spearfishing,N
2014,08,USA,Florida,Unprovoked,Unknown,M,Standing,N
2014,08,USA,Florida,Unprovoked,26,M,Unknown,N
2014,08,USA,Florida,Unprovoked,10,F,Swimming,N
2014,08,USA,Louisiana,Unprovoked,7,M,Swimming,N
2014,08,USA,South Carolina,Unprovoked,10,M,Surfing,N
2014,08,USA,Florida,Unprovoked,45,F,Swimming,N
2014,08,USA,Florida,Unprovoked,50s,M,Surfing,N
2014,08,USA,Florida,Unprovoked,8,M,Surfing,N
2014,08,SOUTH AFRICA,Western Cape Province,Unprovoked,20,M,Surfing,N
2014,07,USA,North Carolina,Unprovoked,Teen,M,Swimming,N
2014,07,USA,Florida,Unprovoked,8,M,Standing,N
2014,07,USA,Hawaii,Unprovoked,61,M,Swimming,N
2014,07,USA,Florida,Unprovoked,39,M,Swimming,N
2014,07,USA,North Carolina,Unprovoked,Unknown,M,Surfing,N
2014,07,USA,Florida,Unprovoked,14,M,Surfing,N
2014,07,USA,California,Provoked,Unknown,M,Swimming,N
2014,07,USA,California,Unprovoked,Unknown,M,Surfing,N
2014,07,USA,South Carolina,Unprovoked,19,M,Surfing,N
2014,06,BAHAMAS,Abaco Islands,Unprovoked,42,M,Spearfishing,N
2014,06,AUSTRALIA,South Australia,Unprovoked,Unknown,M,Surfing,N
2014,06,AUSTRALIA,South Australia,Unprovoked,15,M,Surfing,N
2014,06,USA,Delaware,Unprovoked,16,M,Standing,N
2014,06,AUSTRALIA,South Australia,Unprovoked,39,M,Surfing,N
2014,06,USA,Florida,Unprovoked,22,F,Swimming,N
2014,06,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2014,05,USA,Florida,Unprovoked,38,F,Surfing,N
2014,05,AUSTRALIA,South Australia,Unprovoked,35,M,Surfing,N
2014,05,USA,Florida,Unprovoked,44,F,Wading,N
2014,05,USA,Georgia,Unprovoked,12,M,Surfing,N
2014,05,USA,Florida,Invalid,Unknown,M,Diving,N
2014,05,USA,South Carolina,Unprovoked,40,F,Swimming,N
2014,05,USA,Florida,Unprovoked,23,M,Surfing,N
2014,04,AUSTRALIA,Western Australia,Unprovoked,Unknown,M,Spearfishing,N
2014,04,USA,Florida,Unprovoked,25,M,Wading,N
2014,04,SOUTH AFRICA,Eastern Cape Province,Provoked,Unknown,M,Fishing,N
2014,04,USA,Florida,Unprovoked,teen,M,Surfing,N
2014,04,USA,Florida,Unprovoked,teen,M,Surfing,N
2014,04,AUSTRALIA,New South Wales,Unprovoked,63,F,Swimming,Y
2014,03,SOUTH AFRICA,Eastern Cape Province,Unprovoked,66,M,Swimming,Y
2014,03,USA,Florida,Unprovoked,9,M,Surfing,N
2014,03,AUSTRALIA,Victoria,Unprovoked,42,M,Surfing,N
2014,03,AUSTRALIA,New South Wales,Invalid,10,F,Unknown,N
2014,03,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Swimming,N
2014,03,USA,Florida,Unprovoked,21,M,Surfing,N
2014,02,NEW ZEALAND,South Island,Unprovoked,28,M,Surfing,N
2014,01,AUSTRALIA,New South Wales,Provoked,Unknown,M,Fishing,N
2014,01,NEW ZEALAND,South Island,Unprovoked,24,M,Spearfishing,N
2013,12,NEW CALEDONIA,North Province,Unprovoked,37,M,Snorkeling,N
2013,12,SOUTH AFRICA,Western Cape Province,Unprovoked,19,M,Surfing,N
2013,12,USA,Hawaii,Unprovoked,29,M,Surfing,N
2013,12,USA,Florida,Unprovoked,30,M,Surfing,N
2013,12,AUSTRALIA,New South Wales,Unprovoked,26,M,Surfing,N
2013,11,AUSTRALIA,New South Wales,Unprovoked,19,M,Surfing,Y
2013,11,USA,Hawaii,Unprovoked,58,F,Snorkeling,N
2013,11,AUSTRALIA,Western Australia,Unprovoked,35,M,Surfing,Y
2013,11,USA,Oregon,Unprovoked,25,M,Surfing,N
2013,11,AUSTRALIA,Western Australia,Unprovoked,Unknown,M,Surfing,N
2013,11,USA,New Jersey,Unprovoked,16,M,Surfing,N
2013,11,USA,Florida,Unprovoked,Unknown,M,Surfing,N
2013,10,AUSTRALIA,Western Australia,Unprovoked,60,F,Snorkeling,N
2013,10,AUSTRALIA,New South Wales,Unprovoked,41,M,Surfing,N
2013,10,USA,Hawaii,Unprovoked,25,M,Surfing,N
2013,10,USA,Florida,Unprovoked,6,M,Wading,N
2013,10,USA,California,Unprovoked,45,M,Surfing,N
2013,10,USA,Florida,Unprovoked,12,M,Wading,N
2013,09,USA,Florida,Unprovoked,50,M,Surfing,N
2013,09,USA,Florida,Unprovoked,7,M,Standing,N
2013,09,USA,Florida,Unprovoked,45,M,Swimming,N
2013,09,USA,Florida,Unprovoked,Unknown,M,Surfing,N
2013,09,USA,Florida,Unprovoked,21,M,Swimming,N
2013,09,USA,Florida,Unprovoked,13,F,Surfing,N
2013,09,USA,South Carolina,Unprovoked,Unknown,F,Unknown,UNKNOWN
2013,09,USA,Florida,Provoked,43,M,Surfing,N
2013,09,USA,Florida,Unprovoked,25,M,Standing,N
2013,09,USA,Florida,Unprovoked,17,M,Swimming,N
2013,09,USA,Florida,Provoked,3,M,Unknown,N
2013,08,USA,California,Unprovoked,Unknown,M,Swimming,N
2013,08,USA,Florida,Unprovoked,11,F,Surfing,N
2013,08,USA,Hawaii,Unprovoked,16,M,Surfing,N
2013,08,USA,California,Unprovoked,Unknown,F,Surfing,N
2013,08,USA,Hawaii,Unprovoked,20,F,Snorkeling,Y
2013,08,USA,South Carolina,Unprovoked,10,M,Surfing,N
2013,08,USA,Florida,Unprovoked,17,M,Fishing,N
2013,07,USA,Hawaii,Unprovoked,56,F,Snorkeling,N
2013,07,USA,South Carolina,Unprovoked,32,M,Swimming,N
2013,07,BAHAMAS,Abaco Islands,Unprovoked,40,M,Spearfishing,N
2013,07,MEXICO,Quintana Roo,Unprovoked,Unknown,F,Wading,N
2013,07,USA,Hawaii,Unprovoked,18,M,Surfing,N
2013,07,BAHAMAS,Abaco Islands,Unprovoked,50,M,Diving,N
2013,07,USA,Florida,Unprovoked,teen,M,Swimming,N
2013,07,USA,North Carolina,Unprovoked,63,F,Wading,N
2013,07,AUSTRALIA,Victoria,Unprovoked,29,M,Surfing,N
2013,06,USA,Florida,Unprovoked,Unknown,M,Swimming,N
2013,06,USA,South Carolina,Unprovoked,14,M,Swimming,N
2013,06,USA,Hawaii,Unprovoked,28,M,Swimming,N
2013,06,USA,Texas,Unprovoked,15,M,Swimming,N
2013,06,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Unknown,M,Surfing,N
2013,06,USA,Florida,Unprovoked,Unknown,F,Surfing,N
2013,06,USA,South Carolina,Unprovoked,10,F,Surfing,N
2013,06,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2013,05,USA,Hawaii,Unprovoked,32,M,Diving,N
2013,05,USA,Florida,Unprovoked,11,M,Swimming,N
2013,05,USA,California,Invalid,42,M,Surfing,Y
2013,05,USA,Florida,Unprovoked,16,M,Surfing,N
2013,04,AUSTRALIA,New South Wales,Provoked,Unknown,M,Fishing,N
2013,04,MEXICO,Quintana Roo,Unprovoked,34,F,Swimming,N
2013,04,AUSTRALIA,New South Wales,Unprovoked,51,M,Fishing,N
2013,04,SOUTH AFRICA,Western Cape Province,Unprovoked,Unknown,M,Diving,N
2013,04,USA,Florida,Unprovoked,21,M,Surfing,N
2013,04,USA,Florida,Unprovoked,50,M,Swimming,N
2013,04,AUSTRALIA,Western Australia,Invalid,24,M,Unknown,Y
2013,04,USA,Hawaii,Unprovoked,58,M,Surfing,N
2013,03,AUSTRALIA,New South Wales,Invalid,47,M,Surfing,N
2013,03,SOUTH AFRICA,Western Cape Province,Unprovoked,Unknown,M,Surfing,N
2013,03,AUSTRALIA,Western Australia,Unprovoked,28,M,Spearfishing,N
2013,03,SOUTH AFRICA,Eastern Cape Province,Unprovoked,39,M,Swimming,N
2013,02,NEW ZEALAND,North Island,Unprovoked,46,M,Swimming,Y
2013,02,USA,Hawaii,Unprovoked,Unknown,Unknown,Surfing,N
2013,02,USA,Hawaii,Unprovoked,Unknown,M,Surfing,N
2013,02,USA,Florida,Unprovoked,16,M,Surfing,N
2013,01,AUSTRALIA,Victoria,Boat,Unknown,M,Fishing,N
2013,01,AUSTRALIA,Queensland,Unprovoked,Unknown,M,Surfing,N
2013,01,USA,Hawaii,Unprovoked,43,M,Surfing,N
2012,12,USA,Florida,Unprovoked,Unknown,M,Swimming,N
2012,12,AUSTRALIA,New South Wales,Unprovoked,23,M,Surfing,N
2012,12,SOUTH AFRICA,Eastern Cape Province,Unprovoked,20,M,Swimming,Y
2012,12,AUSTRALIA,Western Australia,Unprovoked,32,M,Surfing,N
2012,12,USA,Hawaii,Unprovoked,60,M,Surfing,N
2012,12,AUSTRALIA,New South Wales,Unprovoked,31,M,Spearfishing,N
2012,12,NEW ZEALAND,South Island,Unprovoked,25,F,Diving,N
2012,11,USA,Hawaii,Unprovoked,61,M,Snorkeling,N
2012,11,AUSTRALIA,Queensland,Invalid,20,M,Unknown,N
2012,11,USA,Florida,Unprovoked,14,M,Surfing,N
2012,11,USA,Hawaii,Unprovoked,30,M,Diving,N
2012,11,USA,Hawaii,Unprovoked,43,M,Surfing,N
2012,10,USA,California,Unprovoked,25,M,Surfing,N
2012,10,USA,Hawaii,Unprovoked,51,F,Swimming,N
2012,10,USA,California,Unprovoked,39,M,Surfing,Y
2012,10,USA,Florida,Unprovoked,35,F,Unknown,N
2012,10,USA,Florida,Unprovoked,24,M,Surfing,N
2012,10,USA,Florida,Invalid,Unknown,M,Unknown,N
2012,10,USA,California,Unprovoked,42,M,Surfing,N
2012,09,USA,Florida,Unprovoked,21,M,Surfing,N
2012,09,USA,Florida,Unprovoked,22,M,Surfing,N
2012,09,USA,Florida,Unprovoked,52,M,Surfing,N
2012,09,USA,Florida,Unprovoked,19,Unknown,Surfing,N
2012,09,USA,Florida,Unprovoked,25,M,Surfing,N
2012,09,USA,Florida,Unprovoked,Unknown,M,Swimming,N
2012,09,USA,Florida,Unprovoked,30s,M,Surfing,N
2012,09,USA,Florida,Unprovoked,37,M,Surfing,N
2012,09,USA,Florida,Unprovoked,32,M,Surfing,N
2012,09,USA,Florida,Unprovoked,8,F,Surfing,N
2012,09,USA,Hawaii,Provoked,Unknown,Unknown,Spearfishing,N
2012,08,AUSTRALIA,Western Australia,Unprovoked,34,M,Surfing,N
2012,08,AUSTRALIA,Western Australia,Boat,Unknown,Unknown,Fishing,N
2012,07,USA,California,Unprovoked,17,M,Surfing,N
2012,07,AUSTRALIA,South Australia,Unprovoked,48,M,Surfing,N
2012,07,USA,Hawaii,Unprovoked,44,M,Surfing,N
2012,07,USA,Massachusetts,Unprovoked,50,M,Surfing,N
2012,07,USA,North Carolina,Invalid,12,M,Unknown,N
2012,07,AUSTRALIA,Western Australia,Unprovoked,24,M,Surfing,Y
2012,07,USA,North Carolina,Unprovoked,43,F,Swimming,N
2012,07,AUSTRALIA,Victoria,Invalid,42,F,Diving,Y
2012,07,USA,California,Unprovoked,52,M,Kayaking,N
2012,07,SOUTH AFRICA,Western Cape Province,Unprovoked,29,M,Surfing,N
2012,06,USA,Florida,Unprovoked,6,M,Swimming,N
2012,06,USA,Florida,Unprovoked,26,M,Surfing,N
2012,06,AUSTRALIA,Tasmania,Unprovoked,Unknown,M,Surfing,N
2012,06,USA,Florida,Unprovoked,12,M,Swimming,N
2012,06,USA,South Carolina,Invalid,16,M,Standing,N
2012,06,USA,North Carolina,Unprovoked,6,F,Wading,N
2012,06,USA,Florida,Provoked,23,M,Fishing,N
2012,06,USA,South Carolina,Unprovoked,18,F,Swimming,N
2012,06,USA,South Carolina,Unprovoked,Unknown,M,Swimming,N
2012,06,USA,South Carolina,Unprovoked,Unknown,M,Swimming,N
2012,06,USA,South Carolina,Unprovoked,16,M,Swimming,N
2012,06,AUSTRALIA,Victoria,Unprovoked,42,M,Surfing,N
2012,06,USA,Florida,Unprovoked,12,F,Surfing,N
2012,06,USA,South Carolina,Unprovoked,25,M,Surfing,N
2012,05,USA,North Carolina,Unprovoked,33,F,Wading,N
2012,05,USA,Florida,Unprovoked,22,M,Surfing,N
2012,05,USA,Hawaii,Unprovoked,Unknown,M,Kayaking,N
2012,05,USA,Florida,Unprovoked,47,F,Swimming,N
2012,04,USA,Florida,Unprovoked,28,M,Surfing,N
2012,04,SOUTH AFRICA,Western Cape Province,Unprovoked,20,M,Surfing,Y
2012,04,AUSTRALIA,South Australia,Unprovoked,27,M,Kayaking,N
2012,04,USA,Hawaii,Unprovoked,28,M,Surfing,N
2012,04,USA,Florida,Unprovoked,Unknown,M,Unknown,N
2012,03,AUSTRALIA,Western Australia,Unprovoked,33,M,Diving,Y
2012,03,USA,Florida,Unprovoked,21,M,Surfing,N
2012,03,AUSTRALIA,Queensland,Unprovoked,20,M,Surfing,N
2012,03,USA,Florida,Unprovoked,61,M,Surfing,N
2012,03,USA,Florida,Unprovoked,15,F,Surfing,N
2012,03,USA,Florida,Unprovoked,17,M,Surfing,N
2012,03,NEW ZEALAND,North Island,Unprovoked,Unknown,M,Surfing,N
2012,02,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Fishing,N
2012,02,SOUTH AFRICA,Western Cape Province,Boat,Unknown,Unknown,Fishing,N
2012,02,AUSTRALIA,Queensland,Unprovoked,29,M,Surfing,N
2012,01,USA,Hawaii,Unprovoked,Unknown,Unknown,Snorkeling,N
2012,01,AUSTRALIA,Western Australia,Unprovoked,26,M,Snorkeling,N
2012,01,AUSTRALIA,New South Wales,Unprovoked,44,M,Surfing,N
2012,01,SOUTH AFRICA,Eastern Cape Province,Unprovoked,25,M,Swimming,Y
2012,01,USA,Oregon,Unprovoked,53,M,Surfing,N
2012,01,AUSTRALIA,New South Wales,Unprovoked,28,M,Surfing,N
2012,01,AUSTRALIA,Queensland,Unprovoked,34,M,Spearfishing,N
2011,12,USA,Florida,Unprovoked,Unknown,M,Unknown,N
2011,12,USA,Florida,Unprovoked,27,M,Surfing,N
2011,12,SOUTH AFRICA,Eastern Cape Province,Unprovoked,35,M,Kayaking,N
2011,12,AUSTRALIA,New South Wales,Unprovoked,51,M,Surfing,N
2011,12,AUSTRALIA,New South Wales,Unprovoked,14,M,Surfing,N
2011,12,USA,Oregon,Unprovoked,Unknown,F,Surfing,N
2011,12,AUSTRALIA,Queensland,Invalid,Unknown,Unknown,Spearfishing,Y
2011,12,AUSTRALIA,New South Wales,Unprovoked,63,M,Surfing,N
