Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Age range,Injury,Fatal,Time,Time of day,Species,Case Number,Date
7,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,35-44,"Buttocks, thigh, left hand & wrist injured",N,14h30,1. Afternoon,Unknown,2016.07.06,06-Jul-16
7,2016,Provoked,AUSTRALIA,Queensland,Palm Cove,Fishing,M,34,25-34,Right thigh injured by hooked pregnant female shark provoked incident,N,22h00,3. Night,Tawny Nurse Shark,2016.07.04,04-Jul-16
6,2016,Unprovoked,USA,South Carolina,Sullivan'S Island,Unknown,M,35,35-44,Minor injury,N,16h20,1. Afternoon,3' To 4' Shark,2016.06.27,27-Jun-16
6,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,1-12,Foot injured,N,14h34,1. Afternoon,Unknown,2016.06.25,25-Jun-16
6,2016,Unprovoked,COLUMBIA,Isla Provedencia,Unknown,Scuba diving,M,59,55-64,Severe bite to right hand,N,11h00,0. Morning,"Caribbean Reef Shark, 4.5'",2016.06.24,24-Jun-16
6,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,35-44,Injuries to left leg & right hand,N,Unknown,Unknown,White Shark,2016.06.23,23-Jun-16
6,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,35-44,Lacerations and punctures to foot,N,15h25,1. Afternoon,3' To 5' Shark,2016.06.21.b,21-Jun-16
6,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,0,Unknown,Injuries to right calf,N,14h55,1. Afternoon,Unknown,2016.06.21.a,21-Jun-16
6,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,0,Unknown,Single puncture wound to arm,N,06h00,3. Night,3' To 4' Shark,2016.06.15.b,15-Jun-16
6,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,18-24,No injury but shark punctured his wetsuit after he prodded it with his spear provoked incident,N,Unknown,Unknown,5' Shark,2016.06.15.a,15-Jun-16
6,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,1-12,Injury to lower leg,N,17h30,1. Afternoon,3' To 4' Shark,2016.06.14,14-Jun-16
6,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,18-24,Laceration to wrist,N,15h00,1. Afternoon,3' Shark,2016.06.11,11-Jun-16
6,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,25-34,"No injury, board damaged",N,11h30,0. Morning,Said To Involve An 8' Shark But More Likely Damage Caused By Debris,2016.06.07,07-Jun-16
6,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,55-64,Leg bitten,N,08h30,0. Morning,Unknown,2016.06.05.b,05-Jun-16
6,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,55-64,Fatal,Y,11h30,0. Morning,3+ M Shark,2016.06.05.a,05-Jun-16
6,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,18-24,"Leg severely bitten, surgically amputated",N,10h00,0. Morning,Mako Shark,2016.06.04,04-Jun-16
6,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,0,Unknown,"No injury, but sharks repeatedly hit their fins and guns",Unknown,Unknown,Unknown,Bronze Whaler Sharks X 3,2016.06.02.b,02-Jun-16
6,2016,Unprovoked,NEW CALEDONIA,Unknown,"C�Te-Blanche, Noum�A",Kite surfing,M,0,Unknown,Laceration to heel,N,14h00,1. Afternoon,3 M Shark,2016.06.02.a,02-Jun-16
5,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,25-34,Fatal,Y,16h00,1. Afternoon,White Shark,2016.05.31,31-May-16
5,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,45-54,Injuries to arm and shoulder,N,16h00,1. Afternoon,Unknown,2016.05.29.b,29-May-16
5,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,12-17,Injury to posterior right leg,N,15h45,1. Afternoon,5' Shark,2016.05.29.a,29-May-16
5,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,55-64,Puncture wounds to thigh,N,12h00,1. Afternoon,Unknown,2016.05.22,22-May-16
5,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,18-24,Lacerations and puncture wounds to foot and ankle,N,18h00,2. Evening,"Bull Shark, 4' To 5'",2016.05.21.b,21-May-16
5,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,1-12,"Back, arm & hand injured",N,17h46,1. Afternoon,Unknown,2016.05.21.a,21-May-16
5,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,45-54,Ankle bitten,N,10h00,0. Morning,"Blacktip Shark, 4'",2016.05.18,18-May-16
5,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,18-24,Arm grabbed provoked incident,N,13h20,1. Afternoon,"Nurse Shark, 2'",2016.05.15,15-May-16
5,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,55-64,Minor lacerations to right shoulder,N,15h49,1. Afternoon,Unknown,2016.05.03,03-May-16
5,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,35-44,Foot bitten by landed shark provoked incident,N,14h00,1. Afternoon,"Mako Shark, 1.5 M [5']",2016.05.02,02-May-16
4,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,18-24,Elbow bitten,N,07h00,0. Morning,"Bull Shark, 6'",2016.04.25,25-Apr-16
4,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,12-17,Minor injury to left foot,N,17h30,1. Afternoon,Unknown,2016.04.23,23-Apr-16
4,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,0,Unknown,"No injury, surf-ski bitten",N,08h00,0. Morning,White Shark,2016.04.22,22-Apr-16
4,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,12-17,Minor puncture wound to foot,N,12h00,1. Afternoon,Wobbegong Shark,2016.04.19,19-Apr-16
4,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,25-34,"Severe lacerations to right forearm, hand and calf from speared shark provoked incident",N,Unknown,Unknown,"Grey Reef Shark, 2 M",2016.04.18,18-Apr-16
4,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,25-34,Multiple bites to right arm,N,Unknown,Unknown,"Bull Shark, 7'",2016.04.13,13-Apr-16
4,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,65-74,Fatal,Y,10h45,0. Morning,"Tiger Shark, 2.5 M",2016.04.09,09-Apr-16
4,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,25-34,Left hand bitten,N,Unknown,Unknown,5' To 6' Shark,2016.04.07.b,07-Apr-16
4,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",Sup,M,0,Unknown,Fell off board when spinner shark leapt from the water next to him. no injury to surfer,N,Unknown,Unknown,Unknown,2016.04.07.a,07-Apr-16
3,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,45-54,Minor injury to left foot,N,11h00,0. Morning,Unknown,2016.03.31,31-Mar-16
3,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,18-24,Severe injury to thigh,N,19h00,2. Evening,Unknown,2016.03.30,30-Mar-16
3,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,35-44,"No injury, board dented",N,11h00,0. Morning,Unknown,2016.03.28.a,28-Mar-16
3,2016,Provoked,BAHAMAS,Unknown,Unknown,Unknown,M,9,1-12,Minor injury to chest provoked incident,N,Unknown,Unknown,"Nurse Shark, 2.5-Ft",2016.03.26,26-Mar-16
3,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,Unknown,0,Unknown,Board reportedly bumped by shark. no injury,N,10h00,0. Morning,Shark Involvement Not Confirmed,2016.03.13,13-Mar-16
3,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,18-24,Lacerations to right foot and ankle,N,13h30,1. Afternoon,Unknown,2016.03.11,11-Mar-16
3,2016,Unprovoked,FIJI,Vanua Levu,Unknown,Diving for beche-de-mer,M,45,45-54,Fatal,Y,14h00,1. Afternoon,Unknown,2016.03.10,10-Mar-16
3,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,12,12-17,Superficial injury to foot,N,14h00,1. Afternoon,Unknown,2016.03.04,04-Mar-16
3,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,0,Unknown,Puncture wounds to right calf,N,00h00,3. Night,Bronze Whaler,2016.03.03.R,Reported 03-Mar-2016
3,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balne�Rio Cambori�,Swimming,M,41,35-44,Minor injury to head,N,Unknown,Unknown,Sandtiger Shark,2016.03.02,02-Mar-16
2,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,18-24,Puncture wounds to right thigh,N,19h00,2. Evening,Unknown,2016.02.22,22-Feb-16
2,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,25-34,Forearm bitten,N,16h00,1. Afternoon,Unknown,2016.02.19, 19-Feb-2016
2,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,0,Unknown,"No injury, knocked off board",N,12h30,1. Afternoon,No Shark Involvement,2016.02.10,10-Feb-16
2,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,45-54,Foot nipped,N,13h20,1. Afternoon,Unknown,2016.02.05,05-Feb-16
2,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,35-44,"No injury, shark bit board",N,14h00,1. Afternoon,Unknown,2016.02.04,04-Feb-16
1,2016,Boat,SOUTH AFRICA,Kwazulu-Natal,Unknown,Kayak fishing,M,0,Unknown,"No injury, shark capsized kayak",N,Unknown,Unknown,Unknown,2016.01.29,29-Jan-16
1,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,0,Unknown,Lacerations to both hands,N,14h00,1. Afternoon,"Reef Shark, 5'",2016.01.28,28-Jan-16
1,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai,",Surfing,F,15,12-17,No injury,N,11h30,0. Morning,Unknown,2016.01.25,25-Jan-16
1,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,0,Unknown,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30,0. Morning,Bull Sharks X 2,2016.01.24.b,24-Jan-16
1,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,45-54,No injury,N,10h00,0. Morning,"Tiger Shark, 14'",2016.01.23,23-Jan-16
1,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,0,Unknown,Laceration to right foot,N,Unknown,Unknown,Wobbegong Shark,2016.01.11.R,Reported 11-Jan-2016
1,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,1-12,Laceration to right calf,N,14h00,1. Afternoon,Blacktip Shark,2016.01.05,05-Jan-16
1,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,25-34,Lacerations to arms & leg,N,11h30,0. Morning,3 M Shark,2016.01.02,02-Jan-16
12,2015,Boat,SOUTH AFRICA,Kwazulu-Natal,Westbrook Beach,Kayak fishing,M,0,Unknown,"No injury, kayak damaged",N,10h00,0. Morning,"White Shark, 3 M",2015.12.26,26-Dec-15
12,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,35-44,Lacerations to left forearm,N,Unknown,Unknown,"Silky Shark, 6.5'",2015.12.25,25-Dec-15
12,2015,Unprovoked,USA,Hawaii,La'Aloa Beach Park,Paddle boarding,M,71,65-74,"No injury, shark bit board",N,10h00,0. Morning,9' Shark,2015.12.22,22-Dec-15
12,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,35-44,"No injury, shark leapt on surfboard",N,07h00,0. Morning,"Bronze Whaler Shark, 6'",2015.12.21.b,21-Dec-15
12,2015,Unprovoked,BRAZIL,Pernambuco,Fernano De Noronha,Scuba diving,M,32,25-34,Right hand & part of forearm removed,N,Unknown,Unknown,"Tiger Shark, 1.5 M",2015.12.21.a,21-Dec-15
12,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,Unknown,0,Unknown,"No injury, shark rammed boat & bit motor",N,10h30,0. Morning,"White Shark, 3.5 M",2015.12.13,13-Dec-15
12,2015,Unprovoked,BAHAMAS,Unknown,Off Andros Island,Lobster fishing,M,26,25-34,"Bitten on thigh, abdomen & hand",N,Unknown,Unknown,Bull Shark,2015.12.11,11-Dec-15
12,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / wading,F,22,18-24,Lacerations to both hands and forearms,N,10h00,0. Morning,Unknown,2015.12.08,08-Dec-15
11,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,0,Unknown,Right heel injured,N,14h00,1. Afternoon,Unknown,2015.11.16,16-Nov-15
11,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,0,Unknown,Leg injured,N,10h00,0. Morning,Unknown,2015.11.15.b,15-Nov-15
11,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,25-34,Lacerations to hand,N,Unknown,Unknown,"Spinner Shark, 7'",2015.11.15.a,15-Nov-15
11,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,18-24,Injury to left thigh,N,18h15,2. Evening,"Bull Shark, 2.8 To 3.1 M",2015.11.10,10-Nov-15
12,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,1-12,Lower left leg injured,N,11h00,0. Morning,Shark Involvement Not Confirmed,2015.12.23,07-Nov-15
11,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,45-54,Laceration to right ankle,N,11h00,0. Morning,Unknown,2015.11.03,03-Nov-15
11,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,25-34,Injury to right ankle/calf & hand,N,14h00,1. Afternoon,3' To 5' Shark,2015.11.01.b,01-Nov-15
11,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,18-24,"Arms severely injured, surgically amputated",N,04h00,3. Night,Unknown,2015.11.01.a,01-Nov-15
10,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,45-54,Minor injury,N,Unknown,Unknown,Unknown,2015.10.30,30-Oct-15
10,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,1-12,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,1. Afternoon,Unknown,2015.10.28.a,28-Oct-15
10,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,35-44,"Lacerations to right calf, knee & hip",N,15h00,1. Afternoon,"White Shark, 3 To 3.5M",2015.10.25,25-Oct-15
10,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,18-24,Lacerations to left hand,N,14h30,1. Afternoon,5' Shark,2015.10.21,21-Oct-15
10,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,18-24,Left foot bitten,N,13h50,1. Afternoon,"Spinner Shark, 5'",2015.10.19,19-Oct-15
10,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,35-44,Fatal,Y,Unknown,Unknown,Unknown,2015.10.17.c,17-Oct-15
10,2015,Invalid,USA,Hawaii,"Waikiki,",Surfing,M,32,25-34,Left foot bitten by eel,N,19h20,2. Evening,No Shark Involvement,2015.10.17.b,17-Oct-15
10,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,35-44,Injuries to lower legs,N,11h30,0. Morning,"Tiger Shark, 7'",2015.10.17.a,17-Oct-15
10,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak fishing,M,0,Unknown,"No injury, shark rammed kayak repeatedly",N,11h00,0. Morning,Hammerhead Sp.,2015.10.13,13-Oct-15
10,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,1-12,Laceration to forearm,N,16h20,1. Afternoon,Unknown,2015.10.09.b,09-Oct-15
10,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,25-34,"Left leg severed below the knee, defense injuries to left hand",N,10h25,0. Morning,"Tiger Shark, 13'",2015.10.09.a,09-Oct-15
10,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,0,Unknown,"Arm severely injured, surgically amputated",N,Unknown,Unknown,Unknown,2015.10.08,08-Oct-15
10,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,18-24,Foot injured,N,16h50,1. Afternoon,Unknown,2015.10.07,07-Oct-15
10,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,18-24,2 lacerations to ankle,N,13h00,1. Afternoon,Unknown,2015.10.05.b,05-Oct-15
10,2015,Unprovoked,USA,Texas,Galveston,Wading,M,13,12-17,Foot & hands bitten,N,10h00,0. Morning,4' To 5' Shark,2015.10.05.a,05-Oct-15
10,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,12-17,Severe lacerations to left hand,N,08h30,0. Morning,"Blacktip Shark, 4' To 5'",2015.10.04,04-Oct-15
9,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,18-24,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,1. Afternoon,"Blacktip Shark, 5' To 6'",2015.09.29,29-Sep-15
9,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,1-12,Laceration to leg,N,14h00,1. Afternoon,Unknown,2015.09.26,26-Sep-15
9,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,0,Unknown,"No injury, kayak damaged",N,10h45,0. Morning,"White Shark, 19'",2015.09.24,24-Sep-15
9,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,12-17,Minor injury to left ankle,N,16h45,1. Afternoon,Juvenile Shark,2015.09.20.d,20-Sep-15
9,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,25-34,Severe laceration to left leg,N,15h52,1. Afternoon,"Tiger Shark, 13'",2015.09.20.c,20-Sep-15
9,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,12-17,Significant injuries to leg,N,12h30,1. Afternoon,4' Shark,2015.09.20.b,20-Sep-15
9,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,12-17,Injury to right hand / wrist,N,07h30,0. Morning,Unknown,2015.09.20.a,20-Sep-15
9,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,0,Unknown,Lacerations to calf,N,19h00,2. Evening,Unknown,2015.09.18,18-Sep-15
9,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,18-24,Injury to right foot,N,15h00,1. Afternoon,Unknown,2015.09.17,17-Sep-15
9,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,35-44,Minor laceration to hand,N,06h15,3. Night,6' Shark,2015.09.08,08-Sep-15
