,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
1604,2002.09.16.b,Sep,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City",Swimming,M,19,N
1606,2002.09.13,Sep,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Surf skiing,M,47,N
1607,2002.09.09,Sep,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,20,N
1608,2002.09.05,Sep,2002,Provoked,USA,Florida,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",M,36,N
1609,2002.08.28,Aug,2002,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,16,N
1610,2002.08.17,Aug,2002,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,N
1611,2002.08.14,Aug,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,N
1612,2002.08.11,Aug,2002,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,15,N
1613,2002.08.07,Aug,2002,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,15,N
1614,2002.08.06.R,Aug,2002,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,30,N
1615,2002.08.05,Aug,2002,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",Standing,M,14,N
1616,2002.07.26,Jul,2002,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,N
1617,2002.07.20,Jul,2002,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,N
1618,2002.07.10,Jul,2002,Provoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,N
1619,2002.07.09.b,Jul,2002,Provoked,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Shark Fishing,M,41,Y
1620,2002.07.09.a,Jul,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Surfing,M,22,N
1621,2002.07.04,Jul,2002,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,N
1622,2002.06.20.b,Jun,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,30,N
1623,2002.06.20.a,Jun,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,N
1628,2002.06.11.a,Jun,2002,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,N
1629,2002.06.09.b,Jun,2002,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,N
1630,2002.06.09.a,Jun,2002,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,10,N
1631,2002.06.03,Jun,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),M,50,N
1632,2002.05.31.b,May,2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,24,N
1633,2002.05.31.a,May,2002,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,M,16,N
1634,2002.05.22.b,May,2002,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ","Fishing, removing the shark from his line",M,55,N
1635,2002.05.22.a,May,2002,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,M,35,N
1637,2002.05.21,May,2002,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,Collecting beche-de-mer,M,14,N
1638,2002.05.13,May,2002,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,N
1639,2002.05.10,May,2002,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Surfing,M,40,N
1640,2002.05.07,May,2002,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing from prawn trawler,M,20,N
1641,2002.04.30,Apr,2002,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,M,23,Y
1642,2002.04.21,Apr,2002,Invalid,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing (Drowned 2-Apr-2002),M,52,Y
1643,2002.04.20,Apr,2002,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,34,N
1644,2002.04.18,Apr,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,N
1645,2002.04.12,Apr,2002,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,45,N
1646,2002.04.09,Apr,2002,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Standing,M,43,N
1647,2002.04.02,Apr,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,41,N
1648,2002.04.01,Apr,2002,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming / Wading,M,29,N
1649,2002.03.25.b,Mar,2002,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Body-boarding,M,17,N
1650,2002.03.25.a,Mar,2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,11,N
1651,2002.03.24,Mar,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,16,Y
1652,2002.03.19,Mar,2002,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming /  boogie boarding,M,20,N
1653,2002.03.15.b,Mar,2002,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,39,N
1654,2002.03.15.a,Mar,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,N
1655,2002.03.03,Mar,2002,Invalid,NEW CALEDONIA,Loyalty Islands,Lifou,Spearfishing,M,44,Y
1658,2002.02.11,Feb,2002,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),Unknown,Unknown,M,15,Y
1659,2002.02.07,Feb,2002,Unprovoked,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Kayaking,M,35,N
1660,2002.01.30.b,Jan,2002,Unprovoked,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,M,20,N
1661,2002.01.30.a,Jan,2002,Unprovoked,AUSTRALIA,Western Australia,Collie River ,Swimming,M,32,N
1662,2002.01.04,Jan,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,M,16,N
1664,2002.01.01.b,Jan,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surf skiing,M,26,N
1665,2002.01.01.a,Jan,2002,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,35,N
1666,2001.12.21,Dec,2001,Invalid,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,36,N
1667,2001.11.23,Nov,2001,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,49,N
1671,2001.10.02,Oct,2001,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,20,N
1672,2001.09.30.b,Sep,2001,Unprovoked,MEXICO,Guerrero,Ixtapa,Body surfing,M,26,N
1673,2001.09.30.a,Sep,2001,Boat,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane ",Unknown,M,31,N
1674,2001.09.24,Sep,2001,Provoked,USA,Florida,"Ponce Inlet, Volusia County","Surfing, fell off surfboard & stepped on the shark.",M,21,N
1675,2001.09.18,Sep,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
1676,2001.09.16,Sep,2001,Invalid,USA,Florida,"2 miles off Pompano Beach, Broward County",Wreck / Technical diving,M,42,Y
1677,2001.09.15.b,Sep,2001,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boogie boarding,M,6,N
1678,2001.09.15.a,Sep,2001,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,16,N
1680,2001.09.08,Sep,2001,Provoked,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,44,N
1681,2001.09.07.b,Sep,2001,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Walking in shallows,M,13,N
1683,2001.09.03.b,Sep,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming ,M,28,Y
1684,2001.09.03.a,Sep,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,23,N
1685,2001.09.02,Sep,2001,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,20,N
1686,2001.09.01,Sep,2001,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming ,M,10,Y
1687,2001.08.31,Aug,2001,Unprovoked,BAHAMAS,Abaco Islands,North of Grand Cay,Spearfishing,M,44,N
1688,2001.08.29,Aug,2001,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,N
1689,2001.08.27,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,69,N
1690,2001.08.26,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,18,N
1691,2001.08.25,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,18,N
1692,2001.08.22,Aug,2001,Unprovoked,USA,Florida,"Daytona, Volusia County ",Surfing,M,17,N
1693,2001.08.21,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,N
1694,2001.08.19.c,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,N
1695,2001.08.19.b,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,17,N
1696,2001.08.19.a,Aug,2001,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,17,N
1697,2001.08.18.c,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,N
1698,2001.08.18.b,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N
1699,2001.08.18.a,Aug,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N
1700,2001.08.16,Aug,2001,Unprovoked,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Spearfishing,M,43,N
1701,2001.08.12,Aug,2001,Unprovoked,THAILAND,Rayong Province,Laem Mae Pim Beach,Fell off banana boat,M,21,N
1703,2001.08.04,Aug,2001,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Swimming,M,36,N
1709,2001.07.15.b,Jul,2001,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,48,N
1710,2001.07.15.a,Jul,2001,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boogie boarding,M,18,N
1711,2001.07.06.b,Jul,2001,Unprovoked,MEXICO,Baja California,Ensenada,Surfing,M,42,N
1712,2001.07.06.a,Jul,2001,Unprovoked,USA,Florida,Gulf Islands National Seashore,Swimming,M,8,N
1715,2001.06.12,Jun,2001,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,14,N
1716,2001.06.10,Jun,2001,Provoked,USA,California,Catalina Island,Spearfishing,M,52,N
1717,2001.06.09,Jun,2001,Invalid,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking on the beach,M,75,Y
1718,2001.06.03,Jun,2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,N
1719,2001.05.29,May,2001,Unprovoked,USA,Texas,Galveston Island,Unknown,M,16,N
1720,2001.05.23 ,May,2001,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,N
1722,2001.05.18,May,2001,Provoked,PHILIPPINES,Zamboanga del Sur Province,Unknown,Shark fishing,M,24,N
1724,2001.05.08,May,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,26,N
1726,2001.05.03,May,2001,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,N
1728,2001.04.28,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,14,N
1729,2001.04.13.b,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,N
1730,2001.04.13.a,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,N
1731,2001.04.12.e,Apr,2001,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Unknown,M,30,N
1732,2001.04.12.d,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,N
1733,2001.04.12.c,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,N
1734,2001.04.12.b,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,12,N
1735,2001.04.12.a,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,N
1736,2001.04.11.d,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N
1737,2001.04.11.c,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,N
1739,2001.04.10,Apr,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unknown,16,N
1740,2001.04.08.b,Apr,2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,46,N
1742,2001.04.05,Apr,2001,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing alongside surfboard,M,26,N
1744,2001.04.02.a,Apr,2001,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,M,40,N
1747,2001.03.08,Mar,2001,Invalid,BRAZIL,Bahia,Nova Vicosa,Attempting to catch a crocodile,M,12,N
1748,2001.03.03,Mar,2001,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,20,Y
1752,2001.02.04,Feb,2001,Unprovoked,AUSTRALIA,New South Wales,Broome Head,Surfing,M,40,N
1753,2001.01.24.R,Jan,2001,Boat,AUSTRALIA,New South Wales,South West Rocks,Kayaking,M,35,N
1754,2001.01.24,Jan,2001,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,55,N
1758,2000.12.24,Dec,2000,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,Scuba diving,M,23,N
1759,2000.12.12,Dec,2000,Unprovoked,FIJI,Taveuni,Garden Island Resort,Swimming back from anchored sailboat,M,47,Y
1761,2000.12.05,Dec,2000,Unprovoked,CANADA,New Brunswick,Bay of Fundy,Diving for sea urchins,M,30,N
1762,2000.12.03,Dec,2000,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,M,38,N
1764,2000.11.21,Nov,2000,Unprovoked,AUSTRALIA,Queensland,Orpheus Island,Diving (shell maintenance),M,28,N
1765,2000.11.20,Nov,2000,Invalid,AUSTRALIA,South Australia,Ceduna,Shipwrecked,M,47,Y
1766,2000.11.18,Nov,2000,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,73,N
1767,2000.11.10,Nov,2000,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,N
1768,2000.11.06.b,Nov,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,52,N
1769,2000.11.06.a,Nov,2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,49,Y
1770,2000.11.04,Nov,2000,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,27,N
1771,2000.10.29,Oct,2000,Boat,AUSTRALIA,Queensland,Peel Island,Fishing ,Unknown,31,N
1772,2000.10.20,Oct,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23,N
1773,2000.10.18,Oct,2000,Unprovoked,USA,Hawaii,Olowalu,Swimming / snorkeling,F,56,N
1774,2000.10.14,Oct,2000,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,N
1775,2000.10.09,Oct,2000,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,17,N
1776,2000.10.06.b,Oct,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,N
1777,2000.10.06.a,Oct,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,11,N
1778,2000.10.02,Oct,2000,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,N
1780,2000.09.25,Sep,2000,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,M,17,Y
1781,2000.09.24,Sep,2000,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,M,25,Y
1782,2000.09.18,Sep,2000,Provoked,AUSTRALIA,New South Wales,Wollongong,Fell onto dead shark,M,12,N
1783,2000.09.16.b,Sep,2000,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,Surfing,M,31,Y
1785,2000.09.15,Sep,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing / surfing,M,49,N
1786,2000.09.12,Sep,2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26,N
1787,2000.09.11,Sep,2000,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming / Body surfing,M,25,N
1788,2000.09.10.b,Sep,2000,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,M,8,N
1789,2000.09.10.a,Sep,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Free diving,M,48,N
1790,2000.09.08.c,Sep,2000,Unprovoked,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,M,28,Y
1791,2000.09.08.b,Sep,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,N
1792,2000.09.08.a,Sep,2000,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,Surfing,M,27,N
1794,2000.08.31,Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,47,N
1795,2000.08.30,Aug,2000,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,M,69,Y
1798,2000.08.15,Aug,2000,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui","Windsurfing, but sitting on his board",M,53,N
1799,2000.08.13,Aug,2000,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,27,N
1800,2000.08.12,Aug,2000,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",Standing,F,44,N
1804,2000.07.25,Jul,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,5,N
1805,2000.07.22,Jul,2000,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,45,N
1806,2000.07.17,Jul,2000,Unprovoked,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,M,16,N
1807,2000.07.16.b,Jul,2000,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,14,N
1808,2000.07.16.a,Jul,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,15,N
1809,2000.07.15.b,Jul,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,18,N
1811,2000.07.12,Jul,2000,Unprovoked, TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba diving,M,69,N
1812,2000.07.10,Jul,2000,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",Wading,M,13,N
1813,2000.07.09,Jul,2000,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming ,M,41,N
1814,2000.07.07,Jul,2000,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Jumping,M,5,N
1815,2000.07.06,Jul,2000,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,12,N
1816,2000.07.04.b,Jul,2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,20,N
1817,2000.07.04.a,Jul,2000,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",F,55,N
1818,2000.07.02.b,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,N
1819,2000.07.02.a,Jul,2000,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,19,N
1823,2000.06.19,Jun,2000,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,52,N
1825,2000.06.10,Jun,2000,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,17,N
1826,2000.06.09.b,Jun,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,55,N
1827,2000.06.09.a,Jun,2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,44,N
1828,2000.06.02,Jun,2000,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,13,N
1832,2000.05.07.b,May,2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,M,9,N
1834,2000.04.14,Apr,2000,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,34,N
1837,2000.03.30,Mar,2000,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,M,26,N
1838,2000.03.26,Mar,2000,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,14,N
1839,2000.03.24,Mar,2000,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,37,N
1840,2000.03.15,Mar,2000,Unprovoked,NEW CALEDONIA,North Province,Poum,Spearfishing,M,35,Y
1847,2000.02.21,Feb,2000,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Unknown,M,27,N
1850,2000.02.03,Feb,2000,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,12,N
1851,2000.02.01,Feb,2000,Unprovoked,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,26,N
1853,2000.01.05,Jan,2000,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,Diving,M,35,Y
